INSPECTION_ID,INSPECTION_NUMBER,INSPECTION_LOCATION_ID,INSPECTION_LOCATION_NAME,INSPECTION_LOCATION_STATE_CODE,CATEGORY,SUBCATEGORY,PATHWAY_ID,PATHWAY,ID,COUNTRY_OF_ORIGIN_ID,COUNTRY_OF_ORIGIN_NAME,PROPAGATIVE_MATERIAL_TYPE_ID,PROPAGATIVE_MATERIAL_TYPE,PRODUCER_ID,PRODUCER_NAME,TOTAL_SAMPLING_UNITS,TOTAL_PLANT_QUANTITY,SUBMITTED_DATETIME,REMARKS,CONFIDENCE_LEVEL,RISK_RATING,DETECTION_LEVEL,REQUIRED_NUMBER_OF_BOXES,PULL_NUMBERS,IS_CERTIFIED_OFFSHORE_GREENHOUSE,IS_ACTIVE,CREATED_BY_USER_ID,CREATED_BY_USER_FIRST_NAME,CREATED_BY_USER_MIDDLE_NAME,CREATED_BY_USER_LAST_NAME,CREATED_DATETIME,MODIFIED_BY_USER_ID,MODIFIED_BY_USER_FIRST_NAME,MODIFIED_BY_USER_MIDDLE_NAME,MODIFIED_BY_USER_LAST_NAME,MODIFIED_DATETIME,remarks2,pack_plant
1,1,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Kenya,,Rooted Plant (including grafted),,LIVE WITH PLANTS,54,4456,,,,,,22,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Unrooted Cutting,,INVERSIONES PALMETO LTDA,0,174,,,,,,25,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Netherlands,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,ORNAMENTALES SAPO VERDE 201,1,2977,,,,,,15,,,,,,,,,,,,,,,
2,2,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Kenya,,Unrooted Cutting,,FLORAMO S.A,3,104,,,,,,11,,,,,,,,,,,,,,,
2,2,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,RED FOX LAS MERCEDES S.A.,1,1558,,,,,,22,,,,,,,,,,,,,,,
2,2,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Taiwan,,Unrooted Cutting,,INNOVAPLANT DE COSTA RICA,14,521,,,,,,18,,,,,,,,,,,,,,,
2,2,,Atlanta PIS,,,,,Land Border - Truck - Cargo - PIS,,,Honduras,,Rooted Plant (including grafted),,COSTA FAMRS LLC,146,77238,,,,,,26,,,,,,,,,,,,,,,
2,2,,Honolulu PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,LA FLOR EXOTICA DEL CARIBE BULLIS S.A.,20,1381,,,,,,21,,,,,,,,,,,,,,,
2,2,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,INNOVA PLANT DE COSTA RICA SA,2,36179,,,,,,18,,,,,,,,,,,,,,,
2,2,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Portugal,,Rooted Cutting (including air layer),,LA FLORESTA ORNAMENTALES S.A.,3,3408,,,,,,3,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,Not Selected,9,44197,,,,,,28,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Nicaragua,,Rooted Plant (including grafted),,SOUTHERN INT'L DEVELOPMENT (SID)CO.,61,15233,,,,,,5,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Guatemala,,Unrooted Plant,,Not Selected,49,7412,,,,,,6,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,"LAS PALMAS, S DE R.L",103,105,,,,,,8,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Rooted Plant (including grafted),,ARCO IRIS DEL CARIBE SA,1,18,,,,,,9,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Rooted Plant (including grafted),,INNOVAPLANT DE COSTA RICA,28,51484,,,,,,25,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Unrooted Cutting,,YOUNG HOME ORCHID CO LTD,2,5844,,,,,,23,,,,,,,,,,,,,,,
2,2,,JFK PIS,,,,,Airport - Aircraft - Express Carrier - PIS,,,Guatemala,,Unrooted Cutting,,GUANGZHOU XINHE AGRICULTURAL DEVELO,4,5722,,,,,,17,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Taiwan,,Unrooted Cutting,,INNOVAPLANT DE COSTA RICA,74,4984,,,,,,15,,,,,,,,,,,,,,,
2,2,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Philippines,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,FLORICULTURA Y COMPANIA LTDA,53,90106,,,,,,22,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Indonesia,,Rooted Plant (including grafted),,TURRIPALTAS S.A.box 01-23,10,2596,,,,,,25,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,"Root cutting, crown, or clump, Tuberous Root",,CORPORACION BONANZA BOX 1 - 16,99,144567,,,,,,6,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,RED ROSE HOLLAND EXPORT CO  LTD,63,411039,,,,,,26,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Unrooted Cutting,,Not Selected,1,13,,,,,,16,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Land Border - Truck - Cargo - PIS,,,Taiwan,,Unrooted Cutting,,LA FLOR EXOTICA DEL CARIBE BULLIS S.A,21,407,,,,,,5,,,,,,,,,,,,,,,
2,2,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,India,,Unrooted Plant,,Not Selected,69,21836,,,,,,9,,,,,,,,,,,,,,,
3,3,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,Ornamentales Sapo Verde 9001,0,29,,,,,,11,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Japan,,Rooted Plant (including grafted),,BEAUTY LINE GUATEMALA,99,38655,,,,,,2,,,,,,,,,,,,,,,
3,3,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Germany,,Rooted Plant (including grafted),,LATHYFLORA (KENYA) LIMITED,85,1274,,,,,,4,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Peru,,Unrooted Cutting,,VIVERO INTERNACIONAL S.A. DE C.V.,1,1859,,,,,,22,,,,,,,,,,,,,,,
3,3,,San Francisco PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,INVITRO INTERNATIONAL PVT LTD.,0,19163,,,,,,2,,,,,,,,,,,,,,,
3,3,,Guam PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,AGROPECUARIA HERMANOS PACHECO S,6,18469,,,,,,14,,,,,,,,,,,,,,,
3,3,,Houston PIS,,,,,Airport - Aircraft - Cargo - PIS,,,"Korea, South",,Rooted Plant (including grafted),,Not Selected,12,26745,,,,,,18,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Taiwan,,Rooted Cutting (including air layer),,Soloverde Limitada,1,656,,,,,,26,,,,,,,,,,,,,,,
3,3,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Plant,,EXPORTACIONES DE PRODUCTOS GUATEMAL,102,380596,,,,,,15,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Germany,,Unrooted Cutting,,Soloverde Limitada,4,54982,,,,,,2,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Unrooted Cutting,,GEKKO ENTERPRISE,3,797,,,,,,1,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Unrooted Plant,,KAPOK PLANTAS,1,10558,,,,,,4,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Guatemala,,Rooted Plant (including grafted),,COSTA FARMS DOM,1,26,,,,,,25,,,,,,,,,,,,,,,
3,3,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Rooted Cutting (including air layer),,LUCHA ORNAMENTAL S.A. DRACAENA,28,8429,,,,,,23,,,,,,,,,,,,,,,
3,3,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,DARWIN COLOMBIA S.A.S,24,64628,,,,,,4,,,,,,,,,,,,,,,
3,3,,Los Angeles PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,INNOVAPLANT DE COSTA RICA,5,362,,,,,,20,,,,,,,,,,,,,,,
3,3,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,India,,Rooted Plant (including grafted),,EDEN GARDEN FOR EXOTIC,16,872,,,,,,8,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Kenya,,Rooted Plant (including grafted),,FERTIPLANT B V,16,427,,,,,,23,,,,,,,,,,,,,,,
3,3,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Unrooted Cutting,,Anita Salazar Avila,5,15237,,,,,,19,,,,,,,,,,,,,,,
3,3,,Los Indios PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Unrooted Cutting,,BEAUTY LINE GUATEMALA SA,103,11909,,,,,,21,,,,,,,,,,,,,,,
3,3,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Rooted Plant (including grafted),,LAS LIMAS S A,120,15174,,,,,,5,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Netherlands,,Unrooted Cutting,,INNOVAPLANT DE COSTA RICA,14,6640,,,,,,11,,,,,,,,,,,,,,,
3,3,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,Ornamentales Sapo Verde 501,2,42,,,,,,3,,,,,,,,,,,,,,,
3,3,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Rooted Plant (including grafted),,CV KEBUN MAJU BERSAMA,0,7,,,,,,27,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Nicaragua,,Budwood/Graftwood (scion),,SUANJAIRAK ORCHID,1,28,,,,,,18,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Zimbabwe,,"Bulb, Corm, Rhizome, Tuberous Stem",,INNOVA PLANT DE COSTA RICA SA,29,2358,,,,,,14,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,Not Selected,1,3699,,,,,,12,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Bulgaria,,Rooted Plant (including grafted),,MICROPLANTAS S.A.,0,4356,,,,,,26,,,,,,,,,,,,,,,
4,4,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Netherlands,,Unrooted Cutting,,INNOVA PLANT DE COSTA RICA SA,4,1418,,,,,,11,,,,,,,,,,,,,,,
4,4,,JFK PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Rooted Plant (including grafted),,AMORNTHEP DAENGNOI,2,1294,,,,,,27,,,,,,,,,,,,,,,
4,4,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Uganda,,Rooted Cutting (including air layer),,TIGRA VERDE S.A.,0,393,,,,,,19,,,,,,,,,,,,,,,
4,4,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Mexico,,Rooted Plant (including grafted),,Vita Farms BOX 1301-1387,3,5594,,,,,,20,,,,,,,,,,,,,,,
4,4,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Rooted Plant (including grafted),,GUATEXOTIC,23,321,,,,,,28,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Rooted Plant (including grafted),,Mr. Wirote Makmoon,5,93789,,,,,,10,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Brazil,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,VITA  FARM Box 1501,19,342342,,,,,,18,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Tanzania,,Unrooted Cutting,,"ORNAMENTALES SAPO VERDE S A, BOX 6201-6202",1,896,,,,,,26,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Viet Nam,,Unrooted Cutting,,GEOAGRO DE COSTA RICA,0,47,,,,,,9,,,,,,,,,,,,,,,
4,4,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,TUCAN EXPORTERS,1,14850,,,,,,26,,,,,,,,,,,,,,,
4,4,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,Annia Mayela Fuentes Martinez,5,8114,,,,,,3,,,,,,,,,,,,,,,
4,4,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Mexico,,Unrooted Plant,,"Wilberth Gonzalez Villegas, S.A.",3,14431,,,,,,23,,,,,,,,,,,,,,,
4,4,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,Same as Shipper,1,253,,,,,,15,,,,,,,,,,,,,,,
4,4,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Plant,,Same as Shipper,31,127,,,,,,23,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Uganda,,Unrooted Cutting,,Costa Farms LLC,1,1282,,,,,,1,,,,,,,,,,,,,,,
4,4,,JFK PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Netherlands,,Unrooted Plant,,DARWIN COLOMBIA S.A.S,1,953,,,,,,23,,,,,,,,,,,,,,,
4,4,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Zimbabwe,,Rooted Plant (including grafted),,QUEEN TARIM SANAYI VE TIC,22,1875,,,,,,6,,,,,,,,,,,,,,,
4,4,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Unrooted Plant,,FLOWER AGRONEGOCIOS-EIRELI,57,37741,,,,,,24,,,,,,,,,,,,,,,
4,4,,Seattle PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Netherlands,,Unrooted Plant,,Eva and M CO LTD,83,5137,,,,,,27,,,,,,,,,,,,,,,
4,4,,Los Angeles PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Thailand,,Unrooted Cutting,,Same as Shipper,0,1858,,,,,,21,,,,,,,,,,,,,,,
4,4,,Atlanta PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Thailand,,Unrooted Cutting,,ORNAMENTALES DE CONCEPCION S.A.,0,1,,,,,,27,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,SAPO VERDE BOX 1001,4,1412,,,,,,27,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Viet Nam,,Unrooted Cutting,,"Growth Revolution Co., Ltd.",0,26548,,,,,,21,,,,,,,,,,,,,,,
5,5,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Belgium,,Unrooted Cutting,,HFT SEED SERVICES SA,62,1608,,,,,,20,,,,,,,,,,,,,,,
5,5,,JFK PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Mexico,,Rooted Plant (including grafted),,ORNAMENTALES DE ALTURA SA,17,506,,,,,,19,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Colombia,,Unrooted Cutting,,Vita Fams Box 1601,1,644,,,,,,16,,,,,,,,,,,,,,,
5,5,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Rooted Plant (including grafted),,BLOOMSPOT,0,12403,,,,,,23,,,,,,,,,,,,,,,
5,5,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Tanzania,,Rooted Plant (including grafted),,Sawitree Kyriakides,0,1,,,,,,25,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Rooted Plant (including grafted),,SHENZHEN ZHIZE WEISI SUPPLY,4,102,,,,,,12,,,,,,,,,,,,,,,
5,5,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,CV  GREEN TROPICAL,26,29702,,,,,,19,,,,,,,,,,,,,,,
5,5,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Taiwan,,Unrooted Cutting,,LAS LIMAS,24,27674,,,,,,10,,,,,,,,,,,,,,,
5,5,,Los Angeles PIS,,,,,Airport - Aircraft - Express Carrier - PIS,,,El Salvador,,Rooted Plant (including grafted),,LAS LIMAS S A,1,2359,,,,,,19,,,,,,,,,,,,,,,
5,5,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Rooted Plant (including grafted),,GEKKO ENTERPRISE,1,19,,,,,,7,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,ORNAMENTALES SAPO VERDE BOX 601-605,0,14,,,,,,24,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Italy,,Rooted Plant (including grafted),,Not Selected,28,196731,,,,,,13,,,,,,,,,,,,,,,
5,5,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Kenya,,Rooted Plant (including grafted),,Costa Farms LLC,10,1388,,,,,,16,,,,,,,,,,,,,,,
5,5,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Uganda,,Rooted Plant (including grafted),,Same as Shipper,1,8202,,,,,,12,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Guatemala,,Rooted Plant (including grafted),,TUCAN EXPORTERS,0,9006,,,,,,25,,,,,,,,,,,,,,,
5,5,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Rooted Plant (including grafted),,ZHANGZHOU RICH-LINK TRADING CO.LTD.,0,85,,,,,,14,,,,,,,,,,,,,,,
5,5,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Nicaragua,,Rooted Plant (including grafted),,VITA FARMS 7301,3,227,,,,,,9,,,,,,,,,,,,,,,
5,5,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,VITA FARM5501-5665,25,14848,,,,,,2,,,,,,,,,,,,,,,
5,5,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Uganda,,Unrooted Plant,,EXP. DE ORNAMENTALES BOX 201-310,27,4553,,,,,,13,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,COOPERATIVA AGRICOLA REGIONAL DE Box 25-27,5,15600,,,,,,25,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Kenya,,Unrooted Cutting,,KAPOK PLANTS S.A,11,24037,,,,,,9,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Nicaragua,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,CACTUSINTER CO LTD,10,219,,,,,,22,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Indonesia,,Rooted Plant (including grafted),,ORNAMENTALES JIMENEZ ,8,336,,,,,,24,,,,,,,,,,,,,,,
5,5,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,"Korea, South",,"Root cutting, crown, or clump, Tuberous Root",,VITA FARMS Box# 1301-1328,3,640,,,,,,24,,,,,,,,,,,,,,,
