"PROPAGATIVE_MATERIAL_TYPE","COUNTRY_OF_ORIGIN_NAME","MEDIAN_QTY_LT200","PRODUCER_GROUP_TOP","IMPORTER_NAME_TOP","Compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Escactus","Reference","Medium compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","daniel baytosh","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Bomb Takomfoo","Reference","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"ALPINE TROPICAL PLANTS CO LTD","Reference","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","foremost foliage inc dba foremostco","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","fleurizon","Poor compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","hanna gregor","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","green plant cuttings usa","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"GENEROS ECUATORIANOS","Reference","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","waterscaap pond amp aquarium plants","Poor compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"PT AQUATIC PLAN CENTRE INDONESIA","Reference","Medium compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","costa farms","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","gubler orchids","Poor compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","biostok","Poor compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","perfect choice","Poor compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"GENEROS ECUATORIANOS","hanna gregor","Poor compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Natta 1565 Limited","hanna gregor","Poor compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","b c amp f brokerage","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Natta 1565 Limited","perfect choice","Poor compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","foremost foliage","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","mchutchison","Low compliance"
"Rooted Plant (including grafted)","Thailand",FALSE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"CV Jawadipa Nusantara","Reference","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Nisa Garden","Reference","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"CV Okanoka Multi Usaha","stephanie schouten","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"CV AESTETICH","Reference","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Sekar Wana Jaya","joni suhartomo","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"CV Okanoka Multi Usaha","Reference","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"CV KEBUN INDAH","Reference","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Sekar Wana Jaya","Reference","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","joni suhartomo","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Sekar Wana Jaya","missing","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","tat tristan g","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"PT AQUATIC PLAN CENTRE INDONESIA","complete aquatic systems","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","ultum nature systems","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"CV KEBUN INDAH","stephanie schouten","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Nisa Garden","missing","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","stephanie schouten","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"CV Jawadipa Nusantara","puspa ariani pande ketut","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","waterscaap pond amp aquarium plants","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","costa farms","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"PT AQUATIC PLAN CENTRE INDONESIA","Reference","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"PT AQUATIC PLAN CENTRE INDONESIA","waterscaap pond amp aquarium plants","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","perfect choice","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"CV AESTETICH","missing","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"CV KEBUN INDAH","missing","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"CV Jawadipa Nusantara","missing","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","biostok","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"CV KEBUN INDAH","hanna gregor","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Nisa Garden","hanna gregor","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","hanna gregor","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","omega customs brokers","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","puspa ariani pande ketut","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",TRUE,"Reference","express seed","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"CV Jawadipa Nusantara","Reference","Low compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Nisa Garden","Reference","Low compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"CV Okanoka Multi Usaha","stephanie schouten","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"CV AESTETICH","Reference","Low compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Sekar Wana Jaya","joni suhartomo","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"CV Okanoka Multi Usaha","Reference","Low compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"CV KEBUN INDAH","Reference","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Sekar Wana Jaya","Reference","Low compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","joni suhartomo","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Sekar Wana Jaya","missing","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","tat tristan g","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"PT AQUATIC PLAN CENTRE INDONESIA","complete aquatic systems","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","ultum nature systems","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"CV KEBUN INDAH","stephanie schouten","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Nisa Garden","missing","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","stephanie schouten","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"CV Jawadipa Nusantara","puspa ariani pande ketut","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","waterscaap pond amp aquarium plants","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","costa farms","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"PT AQUATIC PLAN CENTRE INDONESIA","Reference","Medium compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"PT AQUATIC PLAN CENTRE INDONESIA","waterscaap pond amp aquarium plants","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","perfect choice","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"CV AESTETICH","missing","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"CV KEBUN INDAH","missing","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"CV Jawadipa Nusantara","missing","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","biostok","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"CV KEBUN INDAH","hanna gregor","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Nisa Garden","hanna gregor","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","hanna gregor","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","omega customs brokers","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","puspa ariani pande ketut","Poor compliance"
"Rooted Plant (including grafted)","Indonesia",FALSE,"Reference","express seed","Poor compliance"
"Rooted Plant (including grafted)","Philippines",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Philippines",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Philippines",TRUE,"Reference","omega customs brokers","Poor compliance"
"Rooted Plant (including grafted)","Philippines",TRUE,"Reference","aksiporn saengfa","Poor compliance"
"Rooted Plant (including grafted)","Philippines",FALSE,"Reference","missing","Low compliance"
"Rooted Plant (including grafted)","Philippines",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Philippines",FALSE,"Reference","omega customs brokers","Poor compliance"
"Rooted Plant (including grafted)","Philippines",FALSE,"Reference","aksiporn saengfa","Poor compliance"
"Rooted Plant (including grafted)","Austria",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Austria",TRUE,"Reference","Reference","Low compliance"
"Rooted Plant (including grafted)","Austria",FALSE,"Reference","missing","Low compliance"
"Rooted Plant (including grafted)","Austria",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Mexico",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Mexico",TRUE,"Reference","scott valentine","Poor compliance"
"Rooted Plant (including grafted)","Mexico",TRUE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","Mexico",TRUE,"Reference","costa farms","Poor compliance"
"Rooted Plant (including grafted)","Mexico",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Mexico",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Mexico",FALSE,"Reference","scott valentine","Medium compliance"
"Rooted Plant (including grafted)","Mexico",FALSE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","Mexico",FALSE,"Reference","costa farms","Medium compliance"
"Rooted Plant (including grafted)","Mexico",FALSE,"Reference","missing","Low compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"KUNMING TAODUROU HORTICULUTURE C","mimi nursery","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"KUNMING TAODUROU HORTICULUTURE C","Reference","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","costa farms","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"SHANDONG HUAYUCHENG AGRICULTURAL","Reference","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"SHANDONG HUAYUCHENG AGRICULTURAL","mimi nursery","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"ZHANGZHOU BANRUO","united plant growers","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","chen tian","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"ZHANGZHOU BANRUO","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","fleurizon","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"ZHANGZHOU BANRUO","Reference","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","united plant growers","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","express seed","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","western cactus enterprises","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"KUNMING TAODUROU HORTICULUTURE C","missing","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","complete aquatic systems","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","mimi nursery","Low compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","perfect choice","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","green plant cuttings usa","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","mchutchison","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"ZHANGZHOU BANRUO","fleurizon","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","biostok","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"ZHANGZHOU BANRUO","express seed","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"ZHANGZHOU BANRUO","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"ZHANGZHOU BANRUO","costa farms","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"ZHANGZHOU BANRUO","green plant cuttings usa","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","omega customs brokers","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","altman specialty plants","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","scott valentine","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"Reference","kurt weiss greenhouse","Poor compliance"
"Rooted Plant (including grafted)","China",TRUE,"SHANDONG HUAYUCHENG AGRICULTURAL","missing","Poor compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","missing","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"KUNMING TAODUROU HORTICULUTURE C","mimi nursery","Poor compliance"
"Rooted Plant (including grafted)","China",FALSE,"KUNMING TAODUROU HORTICULUTURE C","Reference","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","costa farms","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"SHANDONG HUAYUCHENG AGRICULTURAL","Reference","Medium compliance"
"Rooted Plant (including grafted)","China",FALSE,"SHANDONG HUAYUCHENG AGRICULTURAL","mimi nursery","Poor compliance"
"Rooted Plant (including grafted)","China",FALSE,"ZHANGZHOU BANRUO","united plant growers","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","chen tian","Poor compliance"
"Rooted Plant (including grafted)","China",FALSE,"ZHANGZHOU BANRUO","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","fleurizon","Poor compliance"
"Rooted Plant (including grafted)","China",FALSE,"ZHANGZHOU BANRUO","Reference","Medium compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","united plant growers","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","western cactus enterprises","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"KUNMING TAODUROU HORTICULUTURE C","missing","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","complete aquatic systems","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","mimi nursery","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","perfect choice","Poor compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","green plant cuttings usa","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","mchutchison","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"ZHANGZHOU BANRUO","fleurizon","Poor compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","foremost foliage inc dba foremostco","Poor compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","biostok","Poor compliance"
"Rooted Plant (including grafted)","China",FALSE,"ZHANGZHOU BANRUO","express seed","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"ZHANGZHOU BANRUO","foremost foliage inc dba foremostco","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","China",FALSE,"ZHANGZHOU BANRUO","costa farms","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"ZHANGZHOU BANRUO","green plant cuttings usa","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","omega customs brokers","Poor compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","altman specialty plants","Poor compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","scott valentine","Low compliance"
"Rooted Plant (including grafted)","China",FALSE,"Reference","kurt weiss greenhouse","Medium compliance"
"Rooted Plant (including grafted)","China",FALSE,"SHANDONG HUAYUCHENG AGRICULTURAL","missing","Low compliance"
"Rooted Plant (including grafted)","Taiwan",TRUE,"Reference","missing","Poor compliance"
"Rooted Plant (including grafted)","Taiwan",TRUE,"Reference","Reference","Medium compliance"
"Rooted Plant (including grafted)","Taiwan",TRUE,"Reference","gubler orchids","Poor compliance"
"Rooted Plant (including grafted)","Taiwan",TRUE,"Reference","costa farms","Low compliance"
"Rooted Plant (including grafted)","Taiwan",TRUE,"Reference","united plant growers","Poor compliance"
"Rooted Plant (including grafted)","Taiwan",TRUE,"Reference","altman specialty plants","Poor compliance"
"Rooted Plant (including grafted)","Taiwan",TRUE,"Reference","foremost foliage","Poor compliance"
"Rooted Plant (including grafted)","Taiwan",TRUE,"Reference","biostok","Poor compliance"
"Rooted Plant (including grafted)","Taiwan",TRUE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Taiwan",TRUE,"Reference","perfect choice","Poor compliance"
"Rooted Plant (including grafted)","Taiwan",TRUE,"Reference","foremost foliage inc dba foremostco","Low compliance"
"Rooted Plant (including grafted)","Taiwan",TRUE,"Reference","omega customs brokers","Poor compliance"
"Rooted Plant (including grafted)","Taiwan",TRUE,"Reference","b c amp f brokerage","Poor compliance"
"Rooted Plant (including grafted)","Taiwan",TRUE,"Reference","express seed","Low compliance"
"Rooted Plant (including grafted)","Taiwan",FALSE,"Reference","missing","Medium compliance"
"Rooted Plant (including grafted)","Taiwan",FALSE,"Reference","Reference","High compliance"
"Rooted Plant (including grafted)","Taiwan",FALSE,"Reference","gubler orchids","Poor compliance"
"Rooted Plant (including grafted)","Taiwan",FALSE,"Reference","costa farms","Medium compliance"
"Rooted Plant (including grafted)","Taiwan",FALSE,"Reference","united plant growers","Medium compliance"
"Rooted Plant (including grafted)","Taiwan",FALSE,"Reference","altman specialty plants","Low compliance"
"Rooted Plant (including grafted)","Taiwan",FALSE,"Reference","foremost foliage","Low compliance"
"Rooted Plant (including grafted)","Taiwan",FALSE,"Reference","biostok","Poor compliance"
"Rooted Plant (including grafted)","Taiwan",FALSE,"Reference","miyar intl brokerage","Poor compliance"
"Rooted Plant (including grafted)","Taiwan",FALSE,"Reference","perfect choice","Poor compliance"
"Rooted Plant (including grafted)","Taiwan",FALSE,"Reference","foremost foliage inc dba foremostco","Low compliance"
