,INSPECTION_ID,COMMODITY_COMMON_NAME,COUNTRY_OF_ORIGIN_NAME,PRODUCER_NAME,PROPAGATIVE_MATERIAL_TYPE,QUANTITY,BROKER_NAME,INSPECTION_LOCATION_NAME,PATHWAY,INSPECTION_NUMBER,SHIPPER_NAME,TAXONOMY_ORDER,TAXONOMY_FAMILY,TAXONOMY_GENUS,TAXONOMY_SPECIES,action,RISK_UNIT,TOTAL_SAMPLING_UNITS_FOR_RISK_UNIT,SAMPLING_UNITS_FOR_INSPECTION_UNIT,REQUIRED_NUMBER_OF_BOXES
211,1767173,Anguloa sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),8,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Anguloa,Unknown,0,1767173_1,57,1,16
212,1767173,Fernandezia,Nicaragua,El Poco Loco,Rooted Plant (including grafted),1,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Fernandezia,Unknown,0,1767173_1,57,4,16
213,1767173,Perreirara,Nicaragua,El Poco Loco,Rooted Plant (including grafted),5,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Perreirara,Unknown,0,1767173_1,57,1,16
214,1767173,Gongora sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),82,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Gongora,Unknown,0,1767173_1,57,3,16
215,1767173,Ionopsis,Nicaragua,El Poco Loco,Rooted Plant (including grafted),1,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Ionopsis,Unknown,0,1767173_1,57,1,16
216,1767173,Aspasia,Nicaragua,El Poco Loco,Rooted Plant (including grafted),1,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Aspasia,Unknown,0,1767173_1,57,1,16
217,1767173,Rhynchorides,Nicaragua,El Poco Loco,Rooted Plant (including grafted),2,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Rhynchorides,Unknown,0,1767173_1,57,1,16
218,1767173,Vanda sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),7,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Vanda,Unknown,0,1767173_1,57,4,16
219,1767173,Gomesa,Nicaragua,El Poco Loco,Rooted Plant (including grafted),1,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Gomesa,Unknown,0,1767173_1,57,6,16
220,1767173,Goeppertia sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),136,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Zingiberales,Marantaceae,Goeppertia,Unknown,0,1767173_1,57,9,16
221,1767173,Kefericzella,Nicaragua,El Poco Loco,Rooted Plant (including grafted),1,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Kefericzella,Unknown,0,1767173_1,57,1,16
222,1767173,Anthurium sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),3156,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Alismatales,Araceae,Anthurium,Unknown,0,1767173_1,57,9,16
223,1767173,Paphinopea,Nicaragua,El Poco Loco,Rooted Plant (including grafted),72,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Paphinopea,Unknown,0,1767173_1,57,21,16
224,1767173,Piper sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),15,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Piperales,Piperaceae,Piper,Unknown,0,1767173_1,57,1,16
225,1767173,Fernandezia,Nicaragua,El Poco Loco,Rooted Plant (including grafted),1,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Fernandezia,Unknown,0,1767173_1,57,21,16
226,1767173,Geonoma sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),10,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Arecales,Arecaceae,Geonoma,Unknown,0,1767173_1,57,1,16
227,1767173,Zelenkoa,Nicaragua,El Poco Loco,Rooted Plant (including grafted),50,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Zelenkoa,Unknown,0,1767173_1,57,1,16
228,1767173,Chlorospatha sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),28,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Alismatales,Araceae,Chlorospatha,Unknown,0,1767173_1,57,1,16
229,1767173,Dracontium sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),2,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Alismatales,Araceae,Dracontium,Unknown,0,1767173_1,57,3,16
230,1767173,Ornithidium sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),40,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Ornithidium,Unknown,0,1767173_1,57,1,16
231,1767173,Brassolaeliocattleya sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),4,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Brassolaeliocattleya,Unknown,0,1767173_1,57,1,16
232,1767173,Vanilla sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),2,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Vanilla,Unknown,0,1767173_1,57,6,16
233,1767173,Eucharis sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),12,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Amaryllidaceae,Eucharis,Unknown,0,1767173_1,57,1,16
234,1767173,Mormolyca sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),1,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Mormolyca,Unknown,0,1767173_1,57,1,16
235,1767173,Neofinetia,Nicaragua,El Poco Loco,Rooted Plant (including grafted),3,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Neofinetia,Unknown,0,1767173_1,57,21,16
236,1767173,Laelia sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),22,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Laelia,Unknown,0,1767173_1,57,1,16
237,1767173,Zygopetalum sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),1,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Zygopetalum,Unknown,0,1767173_1,57,6,16
238,1767173,Miltonidium,Nicaragua,El Poco Loco,Rooted Plant (including grafted),2,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Miltonidium,Unknown,0,1767173_1,57,1,16
239,1767173,Dimerandra sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),3,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Dimerandra,Unknown,0,1767173_1,57,1,16
240,1767173,Elaphoglossum sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),25,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Polypodiales,Dryopteridaceae,Elaphoglossum,Unknown,0,1767173_1,57,1,16
241,1767173,Zelenkoa,Nicaragua,El Poco Loco,Rooted Plant (including grafted),50,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Zelenkoa,Unknown,0,1767173_1,57,21,16
242,1767173,Syngonium sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),1,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Alismatales,Araceae,Syngonium,Unknown,0,1767173_1,57,1,16
243,1767173,Pleurothallis sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),13,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Pleurothallis,Unknown,0,1767173_1,57,6,16
244,1767173,Unknown,Nicaragua,El Poco Loco,Rooted Plant (including grafted),1,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Andreettaea,Unknown,0,1767173_1,57,1,16
245,1767173,Pelatantheria sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),1,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Pelatantheria,Unknown,0,1767173_1,57,6,16
246,1767173,RHYNCATLAELIA ,Nicaragua,El Poco Loco,Rooted Plant (including grafted),1,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Rhyncatlaelia,Unknown,0,1767173_1,57,1,16
247,1767173,Cycnoches,Nicaragua,El Poco Loco,Rooted Plant (including grafted),5,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Cycnoches,Unknown,0,1767173_1,57,1,16
248,1767173,Restrepia sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),4,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Restrepia,Unknown,0,1767173_1,57,1,16
249,1767173,Dicranoglossum sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),2,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Polypodiales,Polypodiaceae,Dicranoglossum,Unknown,0,1767173_1,57,3,16
250,1767173,Scaphosepalum sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),1,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Scaphosepalum,Unknown,0,1767173_1,57,1,16
251,1767173,Stelis sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),7,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Stelis,Unknown,0,1767173_1,57,1,16
252,1767173,Macroclinium,Nicaragua,El Poco Loco,Rooted Plant (including grafted),20,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Macroclinium,Unknown,0,1767173_1,57,1,16
253,1767173,Dracula sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),55,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Dracula,Unknown,0,1767173_1,57,1,16
254,1767173,Cyrtonia sp.,Nicaragua,El Poco Loco,Rooted Plant (including grafted),3,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Cyrtonia,Unknown,0,1767173_1,57,1,16
255,1767173,Rhyncholaeliocattleya,Nicaragua,El Poco Loco,Rooted Plant (including grafted),46,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_174,Unknown,Asparagales,Orchidaceae,Rhyncholaeliocattleya,Unknown,0,1767173_1,57,1,16
208,1525174,Petunia sp.,Ecuador,Plant Inventions Ecuadora,Unrooted Cutting,174350,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_175,Unknown,Solanales,Solanaceae,Petunia,Unknown,0,1525174_1,34,16,11
52,2148017,Philodendron hastatum,Malaysia,Unknown,Rooted Plant (including grafted),600,"GERRYMANDER, MANURE COMPANY",Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_18,Unknown,Alismatales,Araceae,Philodendron,hastatum,0,2148017_1,2,2,2
53,2148017,Begonia sp.,Malaysia,Unknown,Rooted Plant (including grafted),1040,"GERRYMANDER, MANURE COMPANY",Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_18,Unknown,Violales,Begoniaceae,Begonia,Unknown,0,2148017_1,2,2,2
54,2148017,Philodendron hastatum,Malaysia,Unknown,Rooted Plant (including grafted),600,"GERRYMANDER, MANURE COMPANY",Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_18,Unknown,Alismatales,Araceae,Philodendron,hastatum,0,2148017_1,2,2,2
55,2148017,Philodendron hastatum,Malaysia,Unknown,Rooted Plant (including grafted),600,"GERRYMANDER, MANURE COMPANY",Los Angeles PIS,Airport - Aircraft - Cargo - PIS,INS_18,Unknown,Alismatales,Araceae,Philodendron,hastatum,0,2148017_1,2,2,2
367,988418,Epipremnum sp.,St Kitts and Nevis,Hamilton Farms Co,Unrooted Cutting,90472,REM,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_19,Unknown,Alismatales,Araceae,Epipremnum,Unknown,0,988418_1,64,63,8
332,2468018,Piper sp.,Nicaragua,Robert Kraft,Rooted Plant (including grafted),5,ALPHA CUSTOMS BROKERS INC,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_19,Unknown,Piperales,Piperaceae,Piper,Unknown,0,2468018_1,23,1,7
391,1088198,Ajuga sp.,Colombia,Floral Flowers JD Powers,Unrooted Cutting,7400,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_199,UMBRELLA CORP HOLDINGS MEXICO,Lamiales,Lamiaceae,Ajuga,Unknown,0,1088198_1,261,1,8
392,1088198,Sanchezia sp.,Colombia,Floral Flowers JD Powers,Unrooted Cutting,1200,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_199,UMBRELLA CORP HOLDINGS MEXICO,Lamiales,Acanthaceae,Sanchezia,Unknown,0,1088198_1,261,2,8
393,1088198,Veronica sp.,Colombia,Floral Flowers JD Powers,Unrooted Cutting,200,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_199,UMBRELLA CORP HOLDINGS MEXICO,Lamiales,Plantaginaceae,Veronica,Unknown,0,1088198_1,261,2,8
394,1088198,Diascia barberae,Colombia,Floral Flowers JD Powers,Unrooted Cutting,500,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_199,UMBRELLA CORP HOLDINGS MEXICO,Lamiales,Scrophulariaceae,Diascia,barberae,0,1088198_1,261,3,8
395,1088198,Kalanchoe sp.,Colombia,Floral Flowers JD Powers,Unrooted Cutting,6200,PRECISE OUTSOURCING,Miami PIS,Airport - Aircraft - Cargo - PIS,INS_199,UMBRELLA CORP HOLDINGS MEXICO,Saxifragales,Crassulaceae,Kalanchoe,Unknown,0,1088198_1,261,15,8
267,746701,Unknown,Congo,Unknown,Unrooted Cutting,1600,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Piperales,Piperaceae,Peperomia,clusiifolia,0,746701_1,5,3,4
268,746701,Unknown,Congo,Unknown,Unrooted Cutting,1600,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Piperales,Piperaceae,Peperomia,clusiifolia,0,746701_1,5,1,4
269,746701,Hedera helix,Congo,Unknown,Unrooted Cutting,8000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Apiales,Araliaceae,Hedera,helix,0,746701_1,5,3,4
270,746701,Pilea sp.,Congo,Unknown,Unrooted Cutting,3000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Rosales,Urticaceae,Pilea,Unknown,0,746701_1,5,1,4
271,746701,Pilea sp.,Congo,Unknown,Unrooted Cutting,3000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Rosales,Urticaceae,Pilea,Unknown,0,746701_1,5,1,4
272,746701,Hedera helix,Congo,Unknown,Unrooted Cutting,8000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Apiales,Araliaceae,Hedera,helix,0,746701_1,5,3,4
273,746701,Hedera helix,Congo,Unknown,Unrooted Cutting,8000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Apiales,Araliaceae,Hedera,helix,0,746701_1,5,3,4
274,746701,Unknown,Congo,Unknown,Unrooted Cutting,1600,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Piperales,Piperaceae,Peperomia,clusiifolia,0,746701_1,5,3,4
275,746701,Unknown,Congo,Unknown,Unrooted Cutting,1600,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Piperales,Piperaceae,Peperomia,clusiifolia,0,746701_1,5,1,4
276,746701,Hedera helix,Congo,Unknown,Unrooted Cutting,8000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Apiales,Araliaceae,Hedera,helix,0,746701_1,5,1,4
277,746701,Hedera helix,Congo,Unknown,Unrooted Cutting,8000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Apiales,Araliaceae,Hedera,helix,0,746701_1,5,1,4
278,746701,Hedera helix,Congo,Unknown,Unrooted Cutting,8000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Apiales,Araliaceae,Hedera,helix,0,746701_1,5,1,4
279,746701,Pilea sp.,Congo,Unknown,Unrooted Cutting,3000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Rosales,Urticaceae,Pilea,Unknown,0,746701_1,5,1,4
280,746701,Unknown,Congo,Unknown,Unrooted Cutting,1600,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Piperales,Piperaceae,Peperomia,clusiifolia,0,746701_1,5,1,4
281,746701,Pilea sp.,Congo,Unknown,Unrooted Cutting,3000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Rosales,Urticaceae,Pilea,Unknown,0,746701_1,5,1,4
282,746701,Hedera helix,Congo,Unknown,Unrooted Cutting,8000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Apiales,Araliaceae,Hedera,helix,0,746701_1,5,1,4
283,746701,Hedera helix,Congo,Unknown,Unrooted Cutting,8000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Apiales,Araliaceae,Hedera,helix,0,746701_1,5,3,4
284,746701,Hedera helix,Congo,Unknown,Unrooted Cutting,8000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Apiales,Araliaceae,Hedera,helix,0,746701_1,5,3,4
285,746701,Pilea sp.,Congo,Unknown,Unrooted Cutting,3000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Rosales,Urticaceae,Pilea,Unknown,0,746701_1,5,3,4
286,746701,Unknown,Congo,Unknown,Unrooted Cutting,1600,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Piperales,Piperaceae,Peperomia,clusiifolia,0,746701_1,5,3,4
287,746701,Pilea sp.,Congo,Unknown,Unrooted Cutting,3000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Rosales,Urticaceae,Pilea,Unknown,0,746701_1,5,1,4
288,746701,Unknown,Congo,Unknown,Unrooted Cutting,1600,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Piperales,Piperaceae,Peperomia,clusiifolia,0,746701_1,5,1,4
289,746701,Pilea sp.,Congo,Unknown,Unrooted Cutting,3000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Rosales,Urticaceae,Pilea,Unknown,0,746701_1,5,3,4
290,746701,Unknown,Congo,Unknown,Unrooted Cutting,1600,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Piperales,Piperaceae,Peperomia,clusiifolia,0,746701_1,5,3,4
291,746701,Hedera helix,Congo,Unknown,Unrooted Cutting,8000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Apiales,Araliaceae,Hedera,helix,0,746701_1,5,1,4
292,746701,Hedera helix,Congo,Unknown,Unrooted Cutting,8000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Apiales,Araliaceae,Hedera,helix,0,746701_1,5,1,4
293,746701,Hedera helix,Congo,Unknown,Unrooted Cutting,8000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Apiales,Araliaceae,Hedera,helix,0,746701_1,5,1,4
294,746701,Hedera helix,Congo,Unknown,Unrooted Cutting,8000,"STOP LOGISTICS, LLC",Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_2,Unknown,Apiales,Araliaceae,Hedera,helix,0,746701_1,5,1,4
122,2284202,Chlorophytum comosum,Congo,Unknown,Unrooted Cutting,3000,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Asparagales,Asparagaceae,Chlorophytum,comosum,0,2284202_1,47,1,8
123,2284202,Unknown,Congo,Unknown,Unrooted Cutting,200,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Gentianales,Apocynaceae,Ceropegia,woodii,0,2284202_1,47,23,8
124,2284202,Chlorophytum comosum,Congo,Unknown,Unrooted Cutting,11200,TEST LOGISTICS LTD,Atlanta PIS,Airport - Aircraft - Cargo - PIS,INS_203,Unknown,Asparagales,Asparagaceae,Chlorophytum,comosum,0,2284202_1,47,2,8
