INSPECTION_NUMBER,INSPECTION_LOCATION_NAME,PATHWAY,COUNTRY_OF_ORIGIN_NAME,PROPAGATIVE_MATERIAL_TYPE,TOTAL_SAMPLING_UNITS,TOTAL_PLANT_QUANTITY,PRODUCER
INS-6650,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",509,48100,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-6713,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",973,35327,O.F. Nelson & Sons Nursery Inc.
INS-7602,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",133,5605,"Stacy's Greenhouses, Inc."
INS-6854,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",905,83508,Silver Terrace Nursery
INS-4976,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),278,16679,Gallup & Stribling Orchids Inc.
INS-9975,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",906,15839,Delray Plants Inc.
INS-4689,Miami PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),727,72699,Operation
INS-2812,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),998,28020,California Pajarosa
INS-7047,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),523,11102,Grower Direct Farms
INS-6966,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),973,19916,Heartland Growers
INS-8475,Miami PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",284,12911,The Sun Valley Group
INS-6846,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),159,206,Altman Plants
INS-5224,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",849,65237,Cuthbert Greenhouse
INS-5156,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),37,1922,Paul Ecke Ranch
INS-2131,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),42,3152,"Farmers' West Flowers & Bouquets, Inc."
INS-3582,Miami PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",898,52438,"Bergen's Greenhouses, Inc."
INS-1211,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",316,16374,Grower Direct Farms
INS-9837,Miami PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),555,37401,DeLeon's Bromeliads
INS-9265,Miami PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",893,8169,Elzinga & Hoeksema Greenhouses
INS-4015,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",382,1275,Elzinga & Hoeksema Greenhouses
INS-6494,Miami PIS,Air,India,Budwood/Graftwood (scion),442,17440,California Pajarosa
INS-9205,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",969,36534,Rockwell Farms Inc.
INS-1395,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",870,15043,"Stacy's Greenhouses, Inc."
INS-4661,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",782,28860,Harts Nursery
INS-2643,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",461,9337,Northwest Horticulture
INS-4097,Miami PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),173,5263,The Sun Valley Group
INS-8774,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),278,7060,Dan Schantz Farm
INS-8659,Miami PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",711,62506,Alex R. Masson
INS-5904,Miami PIS,Air,India,Budwood/Graftwood (scion),400,23093,Grower Direct Farms
INS-6260,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",656,44985,Barcelo Enterprises
INS-2813,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),889,73665,Elzinga & Hoeksema Greenhouses
INS-2949,Miami PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),878,35709,Burgett Geothermal Greenhouses
INS-4013,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),107,7948,Green Circle Growers
INS-1679,Miami PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",292,18583,Van de Wetering Greenhouses Inc.
INS-2403,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",759,9250,Wenke Greenhouses
INS-1182,Miami PIS,Sea,Netherlands,Budwood/Graftwood (scion),657,38118,Bob's Market & Greenhouses Inc.
INS-4862,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),534,32752,Kube-Pak
INS-2171,Miami PIS,Air,India,Budwood/Graftwood (scion),685,13855,Myriad Flowers International
INS-7744,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),648,62804,GroLink Plant Co.
INS-8575,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",276,9669,Kitayama Brothers
INS-5664,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),605,22770,"Matsui Nursery, Inc."
INS-4922,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",68,5888,Harts Nursery
INS-3968,Miami PIS,Train,India,"Root cutting, crown, or clump, Tuberous Root",343,2878,Operation
INS-1029,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),149,14352,Silver Terrace Nursery
INS-6941,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),58,1668,Altman Plants
INS-1232,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),655,18729,Kerry's Bromeliads
INS-2440,Miami PIS,Train,India,"Bulb, Corm, Rhizome, Tuberous Stem",729,28203,Tagawa Greenhouses
INS-9061,Miami PIS,Air,New Zeland,"Root cutting, crown, or clump, Tuberous Root",124,1401,Westland Floral Co.
INS-1141,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),3,48,Wenke Greenhouses
INS-9858,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",453,13439,Clearwater Nursery
INS-8969,Miami PIS,Sea,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",231,9864,Twixwood Nursery LLC
INS-4435,Miami PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",754,30954,Kitayama Brothers
INS-7981,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",561,31378,Twixwood Nursery LLC
INS-2372,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",893,43561,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-9141,Miami PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",274,6986,Kent's Bromeliads Nursery Inc.
INS-4479,Miami PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),843,49342,Metrolina Greenhouses
INS-2184,Miami PIS,Train,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",194,17208,Kent's Bromeliads Nursery Inc.
INS-3199,Miami PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",137,1963,Armstrong Growers
INS-4946,Miami PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",150,1776,Lucas Greenhouses
INS-2399,Miami PIS,Air,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",617,20440,Rocket Farms
INS-4741,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),872,8715,Burgett Geothermal Greenhouses
INS-6805,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),469,24845,Sunshine Floral Inc.
INS-6172,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),242,9861,Valley Flowers
INS-2476,Miami PIS,Train,India,Budwood/Graftwood (scion),528,11387,Kent's Bromeliads Nursery Inc.
INS-7472,Miami PIS,Air,New Zeland,Budwood/Graftwood (scion),276,5677,Kawahara Nurseries
INS-9360,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),718,50686,California Pajarosa
INS-3357,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",606,41718,Hiebert Greenhouse of South Dakota
INS-1404,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),50,576,Four Star Greenhouses
INS-6059,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",4,197,Valley Flowers
INS-4392,Miami PIS,Air,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",521,9237,Alex R. Masson
INS-5881,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),350,22047,Smith Gardens
INS-7507,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",721,32996,Clearwater Nursery
INS-8085,Miami PIS,Air,India,Budwood/Graftwood (scion),40,881,Northwest Horticulture
INS-4612,Miami PIS,Air,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",947,30109,Mid-American Growers
INS-1712,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),119,153,Hermann Engelmann Greenhouses
INS-1224,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",43,3836,Operation
INS-9052,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),563,8800,Dewar Nurseries
INS-1876,Miami PIS,Sea,New Zeland,Budwood/Graftwood (scion),252,15658,Four Star Greenhouses
INS-9944,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",983,15167,GroLink Plant Co.
INS-6207,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",348,8665,Altman Plants
INS-9953,Miami PIS,Air,India,Budwood/Graftwood (scion),933,55793,Harts Nursery
INS-5200,Miami PIS,Sea,Netherlands,"Root cutting, crown, or clump, Tuberous Root",942,66836,Hiebert Greenhouse of South Dakota
INS-6747,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",401,7532,"Costa Farms, LLC"
INS-9405,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),102,942,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-8475,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",279,15148,Post Gardens Inc.
INS-2187,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),265,19576,Pacifica Flowers
INS-3210,Miami PIS,Sea,India,Budwood/Graftwood (scion),720,48893,California Pajarosa
INS-6675,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",460,11823,'Nash Greenhouses
INS-8256,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),835,23989,"Young's Plant Farm, Inc."
INS-6106,Miami PIS,Sea,New Zeland,Budwood/Graftwood (scion),477,25781,"Stacy's Greenhouses, Inc."
INS-3993,Miami PIS,Train,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",717,30272,Timberline Nursery Inc.
INS-1323,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),282,9101,Gallup & Stribling Orchids Inc.
INS-5293,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),838,18571,Dallas Johnson Greenhouses
INS-2377,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),721,60224,Van de Wetering Greenhouses Inc.
INS-3218,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",643,8866,Floral Plant Growers LLC
INS-3928,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",314,28371,Cuthbert Greenhouse
INS-8409,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),612,22980,"Farmers' West Flowers & Bouquets, Inc."
INS-8032,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",935,9003,Barcelo Enterprises
INS-9468,Miami PIS,Train,New Zeland,"Root cutting, crown, or clump, Tuberous Root",582,43077,Delray Plants Inc.
INS-8456,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",743,61049,Maria Gardens Greenhouses Inc.
INS-1897,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",385,35101,Operation
INS-6567,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),885,75503,Color Star Growers
INS-8477,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),955,10110,California Pajarosa
INS-9111,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),1,38,Bell Nursery
INS-9485,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",190,9849,Wenke Greenhouses
INS-9717,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),950,59437,Kent's Bromeliads Nursery Inc.
INS-4035,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),546,2192,O.F. Nelson & Sons Nursery Inc.
INS-4737,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),892,5431,Paul Ecke Ranch
INS-8942,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",120,3342,Barcelo Enterprises
INS-6947,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),669,32657,Colorama Wholesale Nursery
INS-1185,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",70,6820,Westland Floral Co.
INS-6429,Miami PIS,Air,India,Budwood/Graftwood (scion),467,27131,"Bergen's Greenhouses, Inc."
INS-7245,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",721,2772,"Olive Hill Greenhouses, Inc."
INS-3692,Miami PIS,Air,India,Budwood/Graftwood (scion),809,60588,Plant Marketing LLC
INS-7269,Miami PIS,Train,Netherlands,"Root cutting, crown, or clump, Tuberous Root",623,21966,Lucas Greenhouses
INS-3846,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),810,36878,O.F. Nelson & Sons Nursery Inc.
INS-6917,Miami PIS,Air,Japan,Budwood/Graftwood (scion),623,32893,Kitayama Brothers
INS-9050,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",108,748,Wenke Greenhouses
INS-8164,Miami PIS,Sea,India,Budwood/Graftwood (scion),530,41649,'Riverview Flower Farm
INS-3073,Miami PIS,Sea,New Zeland,Budwood/Graftwood (scion),968,76215,O.F. Nelson & Sons Nursery Inc.
INS-9968,Miami PIS,Sea,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",1,22,Bailey Nurseries
INS-5542,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",654,45460,Metrolina Greenhouses
INS-1848,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",567,51184,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-6700,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",930,69658,Kerry's Bromeliads
INS-3818,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),789,36930,California Pajarosa
INS-2502,Miami PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),458,19235,Operation
INS-8902,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",556,18706,Timberline Nursery Inc.
INS-7435,Miami PIS,Air,Netherlands,Budwood/Graftwood (scion),545,34998,Harts Nursery
INS-5610,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),96,232,Bailey Nurseries
INS-3664,Miami PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",532,1621,Rocket Farms
INS-8236,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",230,2517,Hines Horticulture
INS-1220,Miami PIS,Train,India,"Bulb, Corm, Rhizome, Tuberous Stem",925,35837,Armstrong Growers
INS-2355,Miami PIS,Sea,Netherlands,Budwood/Graftwood (scion),8,70,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-6822,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",540,47522,Dan Schantz Farm
INS-4659,Miami PIS,Air,Japan,Budwood/Graftwood (scion),356,5404,Smith Gardens
INS-6734,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),211,5923,Cuthbert Greenhouse
INS-9923,Miami PIS,Sea,Netherlands,Budwood/Graftwood (scion),618,38968,Gallup & Stribling Orchids Inc.
INS-5233,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",861,27826,Rockwell Farms Inc.
INS-2849,Miami PIS,Train,India,"Bulb, Corm, Rhizome, Tuberous Stem",352,14646,Aris (formerly Yoder Brothers)
INS-3964,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",749,67328,Hines Horticulture
INS-3615,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),732,53868,Colorama Wholesale Nursery
INS-2348,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",212,7932,Pacifica Flowers
INS-2266,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",382,1726,Mid-American Growers
INS-1997,Miami PIS,Air,New Zeland,"Root cutting, crown, or clump, Tuberous Root",343,18758,Hines Horticulture
INS-8752,Miami PIS,Air,New Zeland,"Root cutting, crown, or clump, Tuberous Root",682,39503,Blue Ridge Growers
INS-9508,Miami PIS,Air,India,Budwood/Graftwood (scion),8,166,Colorama Wholesale Nursery
INS-4371,Miami PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",754,60998,Mid-American Growers
INS-6825,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),774,5078,Johannes Flowers Inc.
INS-9333,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",634,38444,Rockwell Farms Inc.
INS-1881,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",181,14102,Pacifica Flowers
INS-1004,Miami PIS,Air,India,Budwood/Graftwood (scion),925,92470,Valley Flowers
INS-9681,Miami PIS,Air,Netherlands,"Root cutting, crown, or clump, Tuberous Root",805,42483,Van Wingerden International Inc.
INS-8939,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",855,80437,Floral Plant Growers LLC
INS-4804,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),638,24613,Pacifica Flowers
INS-7351,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",216,2427,Kube-Pak
INS-6615,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),659,13973,Dan & Jerry's Greenhouse
INS-5197,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",875,6563,Floral Plant Growers LLC
INS-9632,Miami PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",597,9105,Westland Floral Co.
INS-4061,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",959,87747,Metrolina Greenhouses
INS-7630,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),777,37348,Van de Wetering Greenhouses Inc.
INS-4193,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",309,18540,Metrolina Greenhouses
INS-7724,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",15,981,Dan & Jerry's Greenhouse
INS-7381,Miami PIS,Air,New Zeland,Budwood/Graftwood (scion),893,65091,Maria Gardens Greenhouses Inc.
INS-6265,Miami PIS,Sea,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",261,6067,Rocket Farms
INS-7533,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",884,65709,Hermann Engelmann Greenhouses
INS-8372,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),638,51602,Floral Plant Growers LLC
INS-2429,Miami PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",271,22979,Green Valley Growers
INS-3947,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",968,18444,Colorama Wholesale Nursery
INS-5244,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),476,42016,Woodburn Nursery & Azaleas
INS-1418,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",814,37729,"Matsui Nursery, Inc."
