INSPECTION_ID,COUNTRY_OF_ORIGIN_NAME,IMPORTER_NAME,PRODUCER_NAME,PROPAGATIVE_MATERIAL_TYPE,QUANTITY,BROKER_NAME,INSPECTION_LOCATION_NAME,PATHWAY,INSPECTION_NUMBER,action,RISK_UNIT,TOTAL_SAMPLING_UNITS_FOR_RISK_UNIT,SAMPLING_UNITS_FOR_INSPECTION_UNIT,REQUIRED_NUMBER_OF_BOXES
8,Panama,FAKE IMPORTER 40,Unknown,Unrooted Cutting,40,FAKE BROKER 30,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 36,Unknown,Unrooted Cutting,4,FAKE BROKER 44,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 50,Unknown,Unrooted Cutting,2,FAKE BROKER 36,PIS 1,Pathway 1,INS_174,0,8_1,57,6,16
8,Panama,FAKE IMPORTER 40,Unknown,Unrooted Cutting,12,FAKE BROKER 46,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 45,Unknown,Unrooted Cutting,1,FAKE BROKER 1,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 10,Unknown,Unrooted Cutting,3,FAKE BROKER 9,PIS 1,Pathway 1,INS_174,0,8_1,57,21,16
8,Panama,FAKE IMPORTER 15,Unknown,Unrooted Cutting,22,FAKE BROKER 21,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 42,Unknown,Unrooted Cutting,1,FAKE BROKER 32,PIS 1,Pathway 1,INS_174,0,8_1,57,6,16
8,Panama,FAKE IMPORTER 13,Unknown,Unrooted Cutting,2,FAKE BROKER 40,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 33,Unknown,Unrooted Cutting,3,FAKE BROKER 10,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 23,Unknown,Unrooted Cutting,25,FAKE BROKER 44,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 1,Unknown,Unrooted Cutting,50,FAKE BROKER 22,PIS 1,Pathway 1,INS_174,0,8_1,57,21,16
8,Panama,FAKE IMPORTER 18,Unknown,Unrooted Cutting,1,FAKE BROKER 51,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 21,Unknown,Unrooted Cutting,13,FAKE BROKER 25,PIS 1,Pathway 1,INS_174,0,8_1,57,6,16
8,Panama,FAKE IMPORTER 10,Unknown,Unrooted Cutting,1,FAKE BROKER 21,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 32,Unknown,Unrooted Cutting,1,FAKE BROKER 19,PIS 1,Pathway 1,INS_174,0,8_1,57,6,16
8,Panama,FAKE IMPORTER 31,Unknown,Unrooted Cutting,1,FAKE BROKER 36,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 30,Unknown,Unrooted Cutting,5,FAKE BROKER 32,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 10,Unknown,Unrooted Cutting,4,FAKE BROKER 12,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 38,Unknown,Unrooted Cutting,2,FAKE BROKER 34,PIS 1,Pathway 1,INS_174,0,8_1,57,3,16
8,Panama,FAKE IMPORTER 50,Unknown,Unrooted Cutting,1,FAKE BROKER 7,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 26,Unknown,Unrooted Cutting,7,FAKE BROKER 26,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 16,Unknown,Unrooted Cutting,20,FAKE BROKER 4,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 7,Unknown,Unrooted Cutting,55,FAKE BROKER 39,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 22,Unknown,Unrooted Cutting,3,FAKE BROKER 13,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
8,Panama,FAKE IMPORTER 18,Unknown,Unrooted Cutting,46,FAKE BROKER 2,PIS 1,Pathway 1,INS_174,0,8_1,57,1,16
9,Ecuador,FAKE IMPORTER 25,Unknown,"Bulb, Corm, Rhizome, Tuberous Stem",174350,FAKE BROKER 26,PIS 1,Pathway 1,INS_175,0,9_1,34,16,11
10,Jamaica,FAKE IMPORTER 7,Unknown,Unrooted Cutting,600,FAKE BROKER 13,PIS 2,Pathway 1,INS_18,0,10_1,2,2,2
10,Jamaica,FAKE IMPORTER 43,Unknown,Unrooted Cutting,1040,FAKE BROKER 6,PIS 2,Pathway 1,INS_18,0,10_1,2,2,2
10,Jamaica,FAKE IMPORTER 38,Unknown,Unrooted Cutting,600,FAKE BROKER 19,PIS 2,Pathway 1,INS_18,0,10_1,2,2,2
10,Jamaica,FAKE IMPORTER 3,Unknown,Unrooted Cutting,600,FAKE BROKER 4,PIS 2,Pathway 1,INS_18,0,10_1,2,2,2
11,Vietnam,FAKE IMPORTER 14,Unknown,Rooted Plant (including grafted),90472,FAKE BROKER 47,PIS 1,Pathway 1,INS_19,0,11_1,64,63,8
12,Jamaica,FAKE IMPORTER 11,Unknown,Unrooted Cutting,5,FAKE BROKER 46,PIS 1,Pathway 1,INS_19,0,12_1,23,1,7
13,Belgium,FAKE IMPORTER 31,UMBRELLA CORP HOLDINGS MEXICO,Unrooted Cutting,7400,FAKE BROKER 49,PIS 1,Pathway 1,INS_199,0,13_1,261,1,8
13,Belgium,FAKE IMPORTER 49,UMBRELLA CORP HOLDINGS MEXICO,Unrooted Cutting,1200,FAKE BROKER 21,PIS 1,Pathway 1,INS_199,0,13_1,261,2,8
13,Belgium,FAKE IMPORTER 22,UMBRELLA CORP HOLDINGS MEXICO,Unrooted Cutting,200,FAKE BROKER 32,PIS 1,Pathway 1,INS_199,0,13_1,261,2,8
13,Belgium,FAKE IMPORTER 48,UMBRELLA CORP HOLDINGS MEXICO,Unrooted Cutting,500,FAKE BROKER 28,PIS 1,Pathway 1,INS_199,0,13_1,261,3,8
13,Belgium,FAKE IMPORTER 42,UMBRELLA CORP HOLDINGS MEXICO,Unrooted Cutting,6200,FAKE BROKER 21,PIS 1,Pathway 1,INS_199,0,13_1,261,15,8
14,Congo,FAKE IMPORTER 15,Unknown,Unrooted Cutting,1600,FAKE BROKER 46,PIS 3,Pathway 1,INS_2,0,14_1,5,3,4
14,Congo,FAKE IMPORTER 40,Unknown,Unrooted Cutting,1600,FAKE BROKER 16,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 32,Unknown,Unrooted Cutting,8000,FAKE BROKER 28,PIS 3,Pathway 1,INS_2,0,14_1,5,3,4
14,Congo,FAKE IMPORTER 11,Unknown,Unrooted Cutting,3000,FAKE BROKER 32,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 13,Unknown,Unrooted Cutting,3000,FAKE BROKER 17,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 7,Unknown,Unrooted Cutting,8000,FAKE BROKER 25,PIS 3,Pathway 1,INS_2,0,14_1,5,3,4
14,Congo,FAKE IMPORTER 24,Unknown,Unrooted Cutting,8000,FAKE BROKER 51,PIS 3,Pathway 1,INS_2,0,14_1,5,3,4
14,Congo,FAKE IMPORTER 23,Unknown,Unrooted Cutting,1600,FAKE BROKER 10,PIS 3,Pathway 1,INS_2,0,14_1,5,3,4
14,Congo,FAKE IMPORTER 26,Unknown,Unrooted Cutting,1600,FAKE BROKER 23,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 25,Unknown,Unrooted Cutting,8000,FAKE BROKER 2,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 49,Unknown,Unrooted Cutting,8000,FAKE BROKER 15,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 12,Unknown,Unrooted Cutting,8000,FAKE BROKER 49,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 36,Unknown,Unrooted Cutting,3000,FAKE BROKER 8,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 50,Unknown,Unrooted Cutting,1600,FAKE BROKER 1,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 28,Unknown,Unrooted Cutting,3000,FAKE BROKER 10,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 30,Unknown,Unrooted Cutting,8000,FAKE BROKER 19,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 50,Unknown,Unrooted Cutting,8000,FAKE BROKER 38,PIS 3,Pathway 1,INS_2,0,14_1,5,3,4
14,Congo,FAKE IMPORTER 9,Unknown,Unrooted Cutting,8000,FAKE BROKER 38,PIS 3,Pathway 1,INS_2,0,14_1,5,3,4
14,Congo,FAKE IMPORTER 46,Unknown,Unrooted Cutting,3000,FAKE BROKER 35,PIS 3,Pathway 1,INS_2,0,14_1,5,3,4
14,Congo,FAKE IMPORTER 33,Unknown,Unrooted Cutting,1600,FAKE BROKER 9,PIS 3,Pathway 1,INS_2,0,14_1,5,3,4
14,Congo,FAKE IMPORTER 49,Unknown,Unrooted Cutting,3000,FAKE BROKER 9,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 15,Unknown,Unrooted Cutting,1600,FAKE BROKER 4,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 38,Unknown,Unrooted Cutting,3000,FAKE BROKER 10,PIS 3,Pathway 1,INS_2,0,14_1,5,3,4
14,Congo,FAKE IMPORTER 15,Unknown,Unrooted Cutting,1600,FAKE BROKER 8,PIS 3,Pathway 1,INS_2,0,14_1,5,3,4
14,Congo,FAKE IMPORTER 32,Unknown,Unrooted Cutting,8000,FAKE BROKER 31,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 7,Unknown,Unrooted Cutting,8000,FAKE BROKER 24,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 41,Unknown,Unrooted Cutting,8000,FAKE BROKER 46,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
14,Congo,FAKE IMPORTER 35,Unknown,Unrooted Cutting,8000,FAKE BROKER 15,PIS 3,Pathway 1,INS_2,0,14_1,5,1,4
15,Peru,FAKE IMPORTER 16,Unknown,Unrooted Cutting,3000,FAKE BROKER 28,PIS 3,Pathway 1,INS_203,0,15_1,47,1,8
15,Peru,FAKE IMPORTER 37,Unknown,Unrooted Cutting,200,FAKE BROKER 24,PIS 3,Pathway 1,INS_203,0,15_1,47,23,8
15,Peru,FAKE IMPORTER 30,Unknown,Unrooted Cutting,11200,FAKE BROKER 1,PIS 3,Pathway 1,INS_203,0,15_1,47,2,8
15,Peru,FAKE IMPORTER 20,Unknown,Unrooted Cutting,400,FAKE BROKER 41,PIS 3,Pathway 1,INS_203,0,15_1,47,2,8
15,Peru,FAKE IMPORTER 51,Unknown,Unrooted Cutting,200,FAKE BROKER 49,PIS 3,Pathway 1,INS_203,0,15_1,47,6,8
15,Peru,FAKE IMPORTER 11,Unknown,Unrooted Cutting,400,FAKE BROKER 13,PIS 3,Pathway 1,INS_203,0,15_1,47,2,8
15,Peru,FAKE IMPORTER 10,Unknown,Unrooted Cutting,100,FAKE BROKER 34,PIS 3,Pathway 1,INS_203,0,15_1,47,1,8
15,Peru,FAKE IMPORTER 50,Unknown,Unrooted Cutting,100,FAKE BROKER 14,PIS 3,Pathway 1,INS_203,0,15_1,47,1,8
15,Peru,FAKE IMPORTER 35,Unknown,Unrooted Cutting,300,FAKE BROKER 49,PIS 3,Pathway 1,INS_203,0,15_1,47,1,8
15,Peru,FAKE IMPORTER 1,Unknown,Unrooted Cutting,200,FAKE BROKER 37,PIS 3,Pathway 1,INS_203,0,15_1,47,1,8
15,Peru,FAKE IMPORTER 19,Unknown,Unrooted Cutting,2000,FAKE BROKER 37,PIS 3,Pathway 1,INS_203,0,15_1,47,1,8
15,Peru,FAKE IMPORTER 49,Unknown,Unrooted Cutting,3400,FAKE BROKER 29,PIS 3,Pathway 1,INS_203,0,15_1,47,1,8
15,Peru,FAKE IMPORTER 28,Unknown,Unrooted Cutting,100,FAKE BROKER 15,PIS 3,Pathway 1,INS_203,0,15_1,47,6,8
15,Peru,FAKE IMPORTER 43,Unknown,Unrooted Cutting,1000,FAKE BROKER 36,PIS 3,Pathway 1,INS_203,0,15_1,47,23,8
15,Peru,FAKE IMPORTER 42,Unknown,Unrooted Cutting,400,FAKE BROKER 26,PIS 3,Pathway 1,INS_203,0,15_1,47,23,8
16,Peru,FAKE IMPORTER 2,Unknown,Unrooted Plant,76500,FAKE BROKER 46,PIS 2,Pathway 1,INS_210,0,16_1,51,51,12
17,Jamaica,FAKE IMPORTER 14,Unknown,Rooted Plant (including grafted),21090,FAKE BROKER 18,PIS 1,Pathway 1,INS_218,0,17_1,28,2,2
18,Nicaragua,FAKE IMPORTER 41,CRANE KICK CO LTD,Unrooted Cutting,865,FAKE BROKER 7,PIS 2,Pathway 1,INS_223,0,18_1,72,1,16
18,Nicaragua,FAKE IMPORTER 34,CRANE KICK CO LTD,Unrooted Cutting,60,FAKE BROKER 4,PIS 2,Pathway 1,INS_223,0,18_1,72,1,16
18,Nicaragua,FAKE IMPORTER 51,CRANE KICK CO LTD,Unrooted Cutting,450,FAKE BROKER 45,PIS 2,Pathway 1,INS_223,0,18_1,72,1,16
18,Nicaragua,FAKE IMPORTER 10,CRANE KICK CO LTD,Unrooted Cutting,50,FAKE BROKER 5,PIS 2,Pathway 1,INS_223,0,18_1,72,1,16
19,Ecuador,FAKE IMPORTER 20,Unknown,Unrooted Cutting,3400,FAKE BROKER 19,PIS 1,Pathway 1,INS_225,0,19_1,513,1,8
20,Bhutan,FAKE IMPORTER 14,FAKE PRODUCER XYZ,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),8,FAKE BROKER 1,PIS 1,Pathway 1,INS_24,0,20_1,17,1,9
21,Peru,FAKE IMPORTER 1,Bonos U2,Unrooted Cutting,10,FAKE BROKER 4,PIS 4,Pathway 1,INS_249,0,21_1,1,1,1
21,Peru,FAKE IMPORTER 31,Bonos U2,Unrooted Cutting,6,FAKE BROKER 27,PIS 4,Pathway 1,INS_249,0,21_1,1,1,1
21,Peru,FAKE IMPORTER 24,Bonos U2,Unrooted Cutting,10,FAKE BROKER 37,PIS 4,Pathway 1,INS_249,0,21_1,1,1,1
22,Jamaica,FAKE IMPORTER 12,We Are Farmers CO LTD,Rooted Plant (including grafted),240,FAKE BROKER 22,PIS 2,Pathway 1,INS_25,0,22_1,43,4,15
22,Jamaica,FAKE IMPORTER 47,We Are Farmers CO LTD,Rooted Plant (including grafted),200,FAKE BROKER 29,PIS 2,Pathway 1,INS_25,0,22_1,43,1,15
22,Jamaica,FAKE IMPORTER 27,We Are Farmers CO LTD,Rooted Plant (including grafted),240,FAKE BROKER 21,PIS 2,Pathway 1,INS_25,0,22_1,43,1,15
22,Jamaica,FAKE IMPORTER 9,We Are Farmers CO LTD,Rooted Plant (including grafted),20,FAKE BROKER 36,PIS 2,Pathway 1,INS_25,0,22_1,43,1,15
22,Jamaica,FAKE IMPORTER 12,We Are Farmers CO LTD,Rooted Plant (including grafted),160,FAKE BROKER 36,PIS 2,Pathway 1,INS_25,0,22_1,43,1,15
22,Jamaica,FAKE IMPORTER 27,We Are Farmers CO LTD,Rooted Plant (including grafted),300,FAKE BROKER 36,PIS 2,Pathway 1,INS_25,0,22_1,43,1,15
22,Jamaica,FAKE IMPORTER 2,We Are Farmers CO LTD,Rooted Plant (including grafted),200,FAKE BROKER 15,PIS 2,Pathway 1,INS_25,0,22_1,43,2,15
22,Jamaica,FAKE IMPORTER 17,We Are Farmers CO LTD,Rooted Plant (including grafted),380,FAKE BROKER 14,PIS 2,Pathway 1,INS_25,0,22_1,43,1,15
22,Jamaica,FAKE IMPORTER 32,We Are Farmers CO LTD,Rooted Plant (including grafted),240,FAKE BROKER 50,PIS 2,Pathway 1,INS_25,0,22_1,43,1,15
22,Jamaica,FAKE IMPORTER 4,We Are Farmers CO LTD,Rooted Plant (including grafted),200,FAKE BROKER 45,PIS 2,Pathway 1,INS_25,0,22_1,43,4,15
22,Jamaica,FAKE IMPORTER 1,We Are Farmers CO LTD,Rooted Plant (including grafted),200,FAKE BROKER 2,PIS 2,Pathway 1,INS_25,0,22_1,43,1,15
22,Jamaica,FAKE IMPORTER 21,We Are Farmers CO LTD,Rooted Plant (including grafted),400,FAKE BROKER 45,PIS 2,Pathway 1,INS_25,0,22_1,43,4,15
22,Jamaica,FAKE IMPORTER 1,We Are Farmers CO LTD,Rooted Plant (including grafted),20,FAKE BROKER 23,PIS 2,Pathway 1,INS_25,0,22_1,43,3,15
22,Jamaica,FAKE IMPORTER 11,We Are Farmers CO LTD,Rooted Plant (including grafted),20,FAKE BROKER 49,PIS 2,Pathway 1,INS_25,0,22_1,43,1,15
22,Jamaica,FAKE IMPORTER 44,We Are Farmers CO LTD,Rooted Plant (including grafted),300,FAKE BROKER 13,PIS 2,Pathway 1,INS_25,0,22_1,43,1,15
22,Jamaica,FAKE IMPORTER 4,We Are Farmers CO LTD,Rooted Plant (including grafted),120,FAKE BROKER 26,PIS 2,Pathway 1,INS_25,0,22_1,43,2,15
23,Ecuador,FAKE IMPORTER 37,Unknown,Rooted Plant (including grafted),12400,FAKE BROKER 51,PIS 5,Pathway 1,INS_254,0,23_1,10,10,6
23,Ecuador,FAKE IMPORTER 34,Unknown,Rooted Plant (including grafted),12400,FAKE BROKER 27,PIS 5,Pathway 1,INS_254,0,23_1,10,10,6
23,Ecuador,FAKE IMPORTER 39,Unknown,Rooted Plant (including grafted),12400,FAKE BROKER 32,PIS 5,Pathway 1,INS_254,0,23_1,10,10,6
23,Ecuador,FAKE IMPORTER 49,Unknown,Rooted Plant (including grafted),12400,FAKE BROKER 51,PIS 5,Pathway 1,INS_254,0,23_1,10,10,6
23,Ecuador,FAKE IMPORTER 21,Unknown,Rooted Plant (including grafted),12400,FAKE BROKER 9,PIS 5,Pathway 1,INS_254,0,23_1,10,10,6
23,Ecuador,FAKE IMPORTER 36,Unknown,Rooted Plant (including grafted),12400,FAKE BROKER 22,PIS 5,Pathway 1,INS_254,0,23_1,10,10,6
23,Ecuador,FAKE IMPORTER 29,Unknown,Rooted Plant (including grafted),12400,FAKE BROKER 7,PIS 5,Pathway 1,INS_254,0,23_1,10,10,6
23,Ecuador,FAKE IMPORTER 9,Unknown,Rooted Plant (including grafted),12400,FAKE BROKER 35,PIS 5,Pathway 1,INS_254,0,23_1,10,10,6
23,Ecuador,FAKE IMPORTER 17,Unknown,Rooted Plant (including grafted),12400,FAKE BROKER 1,PIS 5,Pathway 1,INS_254,0,23_1,10,10,6
23,Ecuador,FAKE IMPORTER 12,Unknown,Rooted Plant (including grafted),12400,FAKE BROKER 4,PIS 5,Pathway 1,INS_254,0,23_1,10,10,6
23,Ecuador,FAKE IMPORTER 51,Unknown,Rooted Plant (including grafted),12400,FAKE BROKER 4,PIS 5,Pathway 1,INS_254,0,23_1,10,10,6
24,Colombia,FAKE IMPORTER 24,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 48,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 8,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 49,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 23,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 33,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 38,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 46,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 22,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 6,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 17,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 49,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 18,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 33,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 34,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 41,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 19,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 33,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 20,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 51,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 43,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 19,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 26,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 41,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 51,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 41,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 41,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 46,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 11,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 43,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 18,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 20,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
24,Colombia,FAKE IMPORTER 50,Bob Costa Ranch LLC,Unrooted Cutting,79740,FAKE BROKER 35,PIS 1,Pathway 1,INS_27,0,24_1,50,50,8
