Origin Location Country Name,Propagative Material type,Producer,Compliance
Ecuador,Unrooted Cutting,Plant Inventions Ecuadora,Medium compliance
Ecuador,Rooted Plant (including grafted),John Goodmans Garden,Medium compliance
Ecuador,Unrooted Cutting,Unknown,Medium compliance
Ecuador,Unrooted Cutting,Plant Inventions Ecuadora 1-4,Medium compliance
Ecuador,Rooted Plant (including grafted),Hocus Pocus Locusts,Medium compliance
Ecuador,Unrooted Cutting,Salsa Verde BOX 01-05,Medium compliance
Ecuador,Unrooted Cutting,Salsa Verde BOX 01-06,Medium compliance
Ecuador,Unrooted Cutting,Salsa Verde BOX 01-08,Medium compliance
Ecuador,Unrooted Cutting,Salsa Verde BOX 01-09,Medium compliance
Ecuador,Rooted Plant (including grafted),Bobby Box 301-305,Medium compliance
Indonesia,Rooted Plant (including grafted),OCCIDENTAL TERRANIUMS LTD,Medium compliance
Indonesia,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),OCCIDENTAL TERRANIUM (S) PTE LTD,Medium compliance
Jamaica,Unrooted Cutting,Fidel Castro's Shell Company,Medium compliance
Jamaica,Unrooted Cutting,Ugly Duckling Jamaica,Medium compliance
Jamaica,Unrooted Cutting,ALL CAPS PLANTS  S.A,Medium compliance
Jamaica,"Bulb, Corm, Rhizome, Tuberous Stem",REVERSO LUA SA,Medium compliance
Jamaica,Unrooted Cutting,Unknown,Medium compliance
Jamaica,Unrooted Cutting,ALL CAPS PLANTS,Medium compliance
Jamaica,Unrooted Cutting,Greenhouse Exposition SA,Medium compliance
Jamaica,Rooted Plant (including grafted),REVERSO LUA S.A 1-31,Medium compliance
Lithuania,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Unknown,Medium compliance
Malaysia,Rooted Plant (including grafted),Unknown,Medium compliance
Malaysia,Rooted Plant (including grafted),Not Selected,Medium compliance
Malaysia,Rooted Plant (including grafted),Rasta Pasta Malaysia,Medium compliance
Nicaragua,Rooted Plant (including grafted),El Poco Loco,Medium compliance
Nicaragua,Rooted Plant (including grafted),Robert Kraft,Medium compliance
Nicaragua,Rooted Plant (including grafted),Burgertown USA,Medium compliance
Peru,Unrooted Plant,TAMBOURINE PLANTS,Medium compliance
Peru,Unrooted Cutting,Jimy Chu Peru HHH,Medium compliance
Peru,Unrooted Cutting,Jimmy Chu HHH,Medium compliance
St Kitts and Nevis,Unrooted Plant,Hamilton Farms Co,Medium compliance
St Kitts and Nevis,Unrooted Cutting,Hamilton Farms Co,Medium compliance
St Kitts and Nevis,Unrooted Plant,Bob Costa Ranch,Medium compliance
Thailand,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Sunnyside UP CO LTD,Medium compliance
Thailand,Rooted Plant (including grafted),Unknown,Medium compliance
United Arab Emirates,Unrooted Cutting,Unknown,Medium compliance
Venezuela,Unrooted Cutting,LLAMA CAFE SA,Medium compliance
Venezuela,Unrooted Cutting,LLAMA CAFE,Medium compliance
Venezuela,Unrooted Cutting,LLAMA CAFE S A,Medium compliance
Vietnam,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Unknown,Medium compliance
Vietnam,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Acupuncture Traditions LTD,Medium compliance
Vietnam,Rooted Plant (including grafted),Not Selected,Medium compliance
Vietnam,Rooted Plant (including grafted),Don Thuc Thai Mon,Medium compliance
Vietnam,Rooted Plant (including grafted),Unknown,Medium compliance
Vietnam,Rooted Plant (including grafted),Greenhouse Corp,Medium compliance
Vietnam,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),LIFE AQUATIC,Medium compliance
Vietnam,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Land Adventures,Medium compliance
Vietnam,Unrooted Cutting,MISO SOUP TIME,Medium compliance
Vietnam,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Ms Doubtfire,Medium compliance
Vietnam,Rooted Plant (including grafted),Rickety Rick Plants,Medium compliance
Vietnam,Rooted Plant (including grafted),The Five Seasons.LTD,Medium compliance
Vietnam,Rooted Plant (including grafted),MONGOLIAN TROPICANA,Medium compliance
Vietnam,Rooted Plant (including grafted),VIETNAM BEST SOUP CO LTD,Medium compliance
Vietnam,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Greenhouse Centre Corp,Medium compliance
Zimbabwe,Unrooted Cutting,Unknown,Medium compliance
Zimbabwe,Unrooted Cutting,Not Selected,Medium compliance
Belgium,Rooted Plant (including grafted),Unknown,Poor compliance
Belgium,Rooted Plant (including grafted),Von Biszmark,Poor compliance
Colombia,Unrooted Cutting,Floral Flowers JD Powers,Poor compliance
Congo,Unrooted Cutting,Unknown,Poor compliance
Congo,Unrooted Cutting,LANDFALL BEAUTY LTD,Poor compliance
Indonesia,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),OCCIDENTAL TERRANIUM (S) PTE LTD,Poor compliance
Jamaica,Unrooted Cutting,ALL CAPS PLANTS,Poor compliance
Jamaica,Unrooted Cutting,OVALTINE SA 2450 ,Poor compliance
Nicaragua,Rooted Plant (including grafted),El Poco Loco,Poor compliance
Peru,Unrooted Cutting,Jimmy Chu HHH,Poor compliance
Peru,Unrooted Cutting,Jimy Chu Peru HHH,Poor compliance
St Kitts and Nevis,Unrooted Cutting,Hamilton Farms Co,Poor compliance
Thailand,Rooted Plant (including grafted),Not Selected,Poor compliance
Thailand,Rooted Plant (including grafted),Unknown,Poor compliance
Thailand,Rooted Plant (including grafted),JOHNNY ROCKETS MD KC SUCCULENTS YARD,Poor compliance
United Arab Emirates,Unrooted Cutting,Unknown,Poor compliance
Venezuela,Unrooted Cutting,LLAMA CAFE,Poor compliance
Vietnam,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),LIFE AQUATIC,Poor compliance
Vietnam,Unrooted Cutting,MISO SOUP TIME,Poor compliance
Vietnam,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Greenhouse Centre Corp,Poor compliance
Zimbabwe,Unrooted Cutting,Unknown,Poor compliance
