INSPECTION_NUMBER,INSPECTION_LOCATION_NAME,PATHWAY,COUNTRY_OF_ORIGIN_NAME,PROPAGATIVE_MATERIAL_TYPE,PRODUCER_NAME,TOTAL_SAMPLING_UNITS,TOTAL_PLANT_QUANTITY
INS_2,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Rooted Plant (including grafted),Not Selected,10,16031
INS_2,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Unrooted Cutting,MR. WROTE MAKMOON,6,966
INS_2,JFK PIS,Airport - Aircraft - Cargo - PIS,Netherlands,Rooted Plant (including grafted),INNOVA PLANT,7,52075
INS_2,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Unrooted Cutting,Vita Farms 001,107,12034
INS_2,Miami PIS,Airport - Aircraft - Cargo - PIS,China,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Agropecuaria Marso,1,8850
INS_2,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Thailand,"Bulb, Corm, Rhizome, Tuberous Stem",RED FOX LAS MERCEDES  SA DE CV,5,14517
INS_2,Miami PIS,Airport - Aircraft - Cargo - PIS,Thailand,Unrooted Cutting,TUCAN EXPORTERS,64,22382
INS_3,Miami PIS,Airport - Aircraft - Cargo - PIS,Zimbabwe,Unrooted Cutting,CHICAN EXPORTADORA,3,1409
INS_3,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Unrooted Cutting,Soloverde Limitada,7,4075
INS_3,Miami PIS,Airport - Aircraft - Cargo - PIS,El Salvador,Unrooted Cutting,INDUSTRIAS AGRICOLAS CENTRO AMER,38,166678
INS_3,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Thailand,Unrooted Plant,Vita Farms 2301-2347,3,18966
INS_3,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,Mexico,Unrooted Plant,"Wilberth Gonzalez Villegas, S.A.",3,14431
INS_3,Miami PIS,Airport - Aircraft - Cargo - PIS,Indonesia,Rooted Plant (including grafted),INNOVAPLANT DE COSTA RICA,2,5894
INS_3,JFK PIS,Airport - Aircraft - Cargo - PIS,Netherlands,Rooted Plant (including grafted),AGRO MARIA LINDA S. A.,0,46
INS_3,Miami PIS,Airport - Aircraft - Cargo - PIS,China,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),"THAI EXOTIC GREENERY CO., LTD",9,14198
INS_3,Miami PIS,Maritime Port - Vessel - Cargo - PIS,Viet Nam,Unrooted Cutting,PREMIUM ORNAMENTALES,18,75306
INS_3,Miami PIS,Airport - Aircraft - Cargo - PIS,Thailand,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),FLORICULTURA Y CIA LTDA,166,24971
INS_3,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Unrooted Cutting,Same as Shipper,2,7767
INS_3,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,Thailand,Rooted Plant (including grafted),"ZHANJIANG YUANLIN TRADING CO., LTD",1,1615
INS_3,Atlanta PIS,Maritime Port - Vessel - Cargo - PIS,Guatemala,Unrooted Cutting,LA LABRANZA S A,1,81
INS_3,Miami PIS,Airport - Aircraft - Cargo - PIS,Mexico,Unrooted Cutting,PREMKAMON INTANIN,17,9356
INS_3,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Thailand,Unrooted Plant,"PLANTAS ILIMITADAS, SOCIEDAD ANONIM",168,109204
INS_3,Linden PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Unrooted Cutting,-COOPEINDIA R.L. Box 17-21,30,28094
INS_4,Miami PIS,Airport - Aircraft - Cargo - PIS,Dominican Republic,Unrooted Cutting,Not Selected,11,7027
INS_4,Miami PIS,Maritime Port - Vessel - Cargo - PIS,Nicaragua,Unrooted Plant,BEAUTY LINE GUATEMALA,1,2102
INS_4,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Unrooted Cutting,Vita Farms,3,9594
INS_4,Los Indios PIS,Maritime Port - Vessel - Cargo - PIS,Thailand,Rooted Plant (including grafted),Same as Shipper,56,626
INS_4,Atlanta PIS,Land Border - Truck - Cargo - PIS,Peru,Unrooted Cutting,Not Selected,37,37474
INS_4,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Plant (including grafted),CERCA DEL PARAISO S.A.,1,20
INS_5,Linden PIS,Airport - Aircraft - Cargo - PIS,Mexico,Unrooted Cutting,ATEN BIOTECH P LTD,10,19447
INS_5,Miami PIS,Airport - Aircraft - Cargo - PIS,Taiwan,Unrooted Cutting,Not Selected,300,7020
INS_5,Houston PIS,Airport - Aircraft - Cargo - PIS,Spain,Unrooted Cutting,LOS PINOS POPTUN,9,3085
INS_5,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,Rooted Plant (including grafted),DARWIN COLOMBIA S.A.S,16,24238
INS_5,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Unrooted Cutting,VITA FARMS 1301,0,526
INS_5,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Plant (including grafted),Vita Farms 1701,96,171923
INS_6,Miami PIS,Airport - Aircraft - Cargo - PIS,China,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Agropecuaria Marso,1,8850
INS_6,Miami PIS,Airport - Aircraft - Cargo - PIS,Germany,Unrooted Cutting,ARBORETA NURSERIES CC,8,15739
INS_6,Linden PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Plant (including grafted),CV KEBUN MAJU BERSAMA,0,7
INS_7,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Rooted Plant (including grafted),ORNAMENTALES SAPO Verde 35 BOXES,2,5835
INS_7,Miami PIS,Airport - Aircraft - Cargo - PIS,Thailand,Unrooted Plant,ANTHURA BV,5,5419
INS_7,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Plant (including grafted),KAPOK PLANTS S A,31,5859
INS_7,Miami PIS,Airport - Aircraft - Cargo - PIS,China,Rooted Plant (including grafted),Same as Shipper,28,7982
INS_7,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Unrooted Cutting,INNOVA PLANT DE COSTA RICA SA,5,12421
INS_7,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Plant (including grafted),ECUAMAGIC S.A.,15,62192
INS_7,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),IZUCAR HORTICULTURAL/ YECAFLORA,6,35967
INS_7,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Plant (including grafted),Ornamentales Sapo Verde Box 8001-8010,2,1822
INS_7,San Francisco PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Rooted Plant (including grafted),INNOVA PLANT DE COSTA RICA SA,0,80
INS_7,Linden PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Unrooted Plant,INDUSTRIAS AGRICOLAS CENTRO AMERICANAS,0,1805
INS_7,San Diego PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Rooted Cutting (including air layer),PLANTAS DEL TROPICO ARC SA,11,17713
INS_7,JFK PIS,Airport - Aircraft - Cargo - PIS,Thailand,Rooted Plant (including grafted),TROPICAL EXOTIQUE CO. LTD,4,1196
INS_7,Linden PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Rooted Plant (including grafted),BLOOMSPOT,18,250
INS_7,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Plant (including grafted),FLORAPLANT S.A. DE C.V.,6,90
INS_7,Houston PIS,Airport - Aircraft - Cargo - PIS,United Kingdom of Great Britain and N. Ireland,Unrooted Cutting,"HUANG,WEI-HSUN",3,141
INS_7,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Rooted Plant (including grafted),KANJARIN  HIRANWORAWUTHIKUL,5,15520
INS_7,Miami PIS,Airport - Aircraft - Cargo - PIS,Netherlands,Unrooted Plant,Dalat Has Farm Agrivina,207,219659
INS_7,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Unrooted Cutting,INNOVA PLANT DE COSTA RICA SA,7,2230
INS_7,Miami PIS,Airport - Aircraft - Cargo - PIS,India,Rooted Cutting (including air layer),"VIVERO INTERNACIONAL S,A DE C.V",4,19494
INS_7,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Rooted Plant (including grafted),PRODUCTOS VALPARAISO,7,965
INS_7,Miami PIS,Airport - Aircraft - Cargo - PIS,Indonesia,Unrooted Cutting,PLANT SOURCE INTERNATIONAL MEXIC,100,195582
INS_7,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Unrooted Cutting,ORNAMENTALES SAPO VERDE 201,4,8860
INS_8,Miami PIS,Airport - Aircraft - Cargo - PIS,Ecuador,Rooted Cutting (including air layer),Not Selected,13,25619
INS_8,Miami PIS,Airport - Aircraft - Express Carrier - PIS,Guatemala,Unrooted Cutting,SAPO VERDE 1001,39,169
INS_8,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Cutting (including air layer),Same as Shipper,5,111695
INS_8,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Plant (including grafted),Cerca del Paraiso 101-103,232,514012
INS_8,Miami PIS,Airport - Aircraft - Cargo - PIS,Thailand,Rooted Cutting (including air layer),MONRA SA,6,2826
INS_8,Atlanta PIS,Maritime Port - Vessel - Cargo - PIS,Thailand,Unrooted Cutting,ORNAMENTALES DE CONCEPCION S.A.,0,1
INS_8,JFK PIS,Airport - Aircraft - Cargo - PIS,Netherlands,Rooted Plant (including grafted),Ornamentales Sapo Verde 1110,2,20091
INS_8,Miami PIS,Airport - Aircraft - Cargo - PIS,Viet Nam,Unrooted Cutting,GEOAGRO DE COSTA RICA,0,47
INS_8,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),INNOVAPLANT DE COSTA RICA,9,621
INS_8,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,Indonesia,Unrooted Cutting,LA FLORESTA ORNAMENTALES S.A.,25,2834
INS_8,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),"FIDES GUATEMALA, S.A.",0,780
INS_8,Miami PIS,Airport - Aircraft - Cargo - PIS,Japan,Unrooted Cutting,ZHANGZHOU RICH LINK TRADING CO,34,62687
INS_8,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Vita Farms Box 801-885,12,17471
INS_8,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Unrooted Cutting,Costa Farms LLC,50,4476
INS_8,Miami PIS,Airport - Aircraft - Cargo - PIS,China,Unrooted Cutting,INVERSIONES PALMETO LTDA,0,174
INS_8,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Cutting (including air layer),Same as Shipper,5,111695
INS_9,Los Angeles PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Budwood/Graftwood (scion),LAS LIMAS S A,25,11287
INS_9,Atlanta PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Unrooted Cutting,AARDSE ORCHIDS,12,13421
INS_9,Linden PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),Cerca del Paraiso ,1,14
INS_9,Miami PIS,Airport - Aircraft - Cargo - PIS,Mexico,Rooted Plant (including grafted),IVAGRO S.A.,8,5464
INS_9,Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,Rooted Plant (including grafted),"VIVERO INTERNACIONAL S,A DE C.V",42,88316
INS_9,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Rooted Plant (including grafted),"ORNAMENTALES SAPO VERDE S A, BOX 6201-6202",22,22683
INS_9,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Rooted Plant (including grafted),VITA FARMS S.A. BOXES 1001-1010,62,351893
INS_9,Miami PIS,Airport - Aircraft - Cargo - PIS,Thailand,Unrooted Cutting,Not Selected,0,306
INS_9,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),"VIVERO INTERNACIONAL S,A DE C.V",9,5063
INS_9,JFK PIS,Airport - Aircraft - Cargo - PIS,China,Unrooted Cutting,ANTHO ORNAMENTALES Box 01- 08,42,11877
INS_9,Miami PIS,Airport - Aircraft - Cargo - PIS,Taiwan,Rooted Plant (including grafted),BEAUTY LINE GUATEMALA,1,8
INS_9,Miami PIS,Airport - Aircraft - Cargo - PIS,Kenya,Unrooted Cutting,ANNIA FUENTES MARTINEZ,46,8407
INS_9,Los Indios PIS,Airport - Aircraft - Cargo - PIS,Canada,Unrooted Cutting,Plantas De Mi Tierra S.A.,0,352
INS_9,Linden PIS,Airport - Aircraft - Cargo - PIS,Ecuador,Unrooted Cutting,BEAUTY LINE GUATEMALA S A,0,4
INS_9,Miami PIS,Airport - Aircraft - Cargo - PIS,Thailand,Unrooted Cutting,GEKKO ENTERPRISE,3,797
INS_9,Miami PIS,Airport - Aircraft - Cargo - PIS,Guatemala,Unrooted Cutting,KANSOM CO LTD,2,3147
INS_9,Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,Unrooted Cutting,Arisa Vongchai,21,17264
INS_9,Miami PIS,Airport - Aircraft - Cargo - PIS,Costa Rica,Unrooted Cutting,KAPOK PLANTS S.A,0,612
