INSPECTION_ID,INSPECTION_NUMBER,INSPECTION_LOCATION_ID,INSPECTION_LOCATION_NAME,INSPECTION_LOCATION_STATE_CODE,CATEGORY,SUBCATEGORY,PATHWAY_ID,PATHWAY,ID,COUNTRY_OF_ORIGIN_ID,COUNTRY_OF_ORIGIN_NAME,PROPAGATIVE_MATERIAL_TYPE_ID,PROPAGATIVE_MATERIAL_TYPE,PRODUCER_ID,PRODUCER_NAME,TOTAL_SAMPLING_UNITS,TOTAL_PLANT_QUANTITY,SUBMITTED_DATETIME,REMARKS,CONFIDENCE_LEVEL,RISK_RATING,DETECTION_LEVEL,REQUIRED_NUMBER_OF_BOXES,PULL_NUMBERS,IS_CERTIFIED_OFFSHORE_GREENHOUSE,IS_ACTIVE,CREATED_BY_USER_ID,CREATED_BY_USER_FIRST_NAME,CREATED_BY_USER_MIDDLE_NAME,CREATED_BY_USER_LAST_NAME,CREATED_DATETIME,MODIFIED_BY_USER_ID,MODIFIED_BY_USER_FIRST_NAME,MODIFIED_BY_USER_MIDDLE_NAME,MODIFIED_BY_USER_LAST_NAME,MODIFIED_DATETIME,remarks2,pack_plant
3,3,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Unrooted Cutting,,GEKKO ENTERPRISE,3,797,,,,,,1,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Unrooted Plant,,KAPOK PLANTAS,1,10558,,,,,,4,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Guatemala,,Rooted Plant (including grafted),,COSTA FARMS DOM,1,26,,,,,,25,,,,,,,,,,,,,,,
3,3,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Rooted Cutting (including air layer),,LUCHA ORNAMENTAL S.A. DRACAENA,28,8429,,,,,,23,,,,,,,,,,,,,,,
3,3,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Unrooted Cutting,,Anita Salazar Avila,5,15237,,,,,,19,,,,,,,,,,,,,,,
3,3,,Los Indios PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Unrooted Cutting,,BEAUTY LINE GUATEMALA SA,103,11909,,,,,,21,,,,,,,,,,,,,,,
3,3,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Netherlands,,Unrooted Cutting,,INNOVAPLANT DE COSTA RICA,14,6640,,,,,,11,,,,,,,,,,,,,,,
3,3,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,Ornamentales Sapo Verde 501,2,42,,,,,,3,,,,,,,,,,,,,,,
3,3,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Rooted Plant (including grafted),,CV KEBUN MAJU BERSAMA,0,7,,,,,,27,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Zimbabwe,,"Bulb, Corm, Rhizome, Tuberous Stem",,INNOVA PLANT DE COSTA RICA SA,29,2358,,,,,,14,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,Not Selected,1,3699,,,,,,12,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Bulgaria,,Rooted Plant (including grafted),,MICROPLANTAS S.A.,0,4356,,,,,,26,,,,,,,,,,,,,,,
4,4,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Netherlands,,Unrooted Cutting,,INNOVA PLANT DE COSTA RICA SA,4,1418,,,,,,11,,,,,,,,,,,,,,,
4,4,,JFK PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Rooted Plant (including grafted),,AMORNTHEP DAENGNOI,2,1294,,,,,,27,,,,,,,,,,,,,,,
4,4,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Uganda,,Rooted Cutting (including air layer),,TIGRA VERDE S.A.,0,393,,,,,,19,,,,,,,,,,,,,,,
4,4,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Mexico,,Rooted Plant (including grafted),,Vita Farms BOX 1301-1387,3,5594,,,,,,20,,,,,,,,,,,,,,,
4,4,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Rooted Plant (including grafted),,GUATEXOTIC,23,321,,,,,,28,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Rooted Plant (including grafted),,Mr. Wirote Makmoon,5,93789,,,,,,10,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Brazil,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,VITA  FARM Box 1501,19,342342,,,,,,18,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Tanzania,,Unrooted Cutting,,"ORNAMENTALES SAPO VERDE S A, BOX 6201-6202",1,896,,,,,,26,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Viet Nam,,Unrooted Cutting,,GEOAGRO DE COSTA RICA,0,47,,,,,,9,,,,,,,,,,,,,,,
4,4,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,TUCAN EXPORTERS,1,14850,,,,,,26,,,,,,,,,,,,,,,
4,4,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,Annia Mayela Fuentes Martinez,5,8114,,,,,,3,,,,,,,,,,,,,,,
4,4,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Mexico,,Unrooted Plant,,"Wilberth Gonzalez Villegas, S.A.",3,14431,,,,,,23,,,,,,,,,,,,,,,
4,4,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,Same as Shipper,1,253,,,,,,15,,,,,,,,,,,,,,,
4,4,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Plant,,Same as Shipper,31,127,,,,,,23,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Uganda,,Unrooted Cutting,,Costa Farms LLC,1,1282,,,,,,1,,,,,,,,,,,,,,,
4,4,,JFK PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Netherlands,,Unrooted Plant,,DARWIN COLOMBIA S.A.S,1,953,,,,,,23,,,,,,,,,,,,,,,
4,4,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Zimbabwe,,Rooted Plant (including grafted),,QUEEN TARIM SANAYI VE TIC,22,1875,,,,,,6,,,,,,,,,,,,,,,
4,4,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Unrooted Plant,,FLOWER AGRONEGOCIOS-EIRELI,57,37741,,,,,,24,,,,,,,,,,,,,,,
4,4,,Seattle PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Netherlands,,Unrooted Plant,,Eva and M CO LTD,83,5137,,,,,,27,,,,,,,,,,,,,,,
4,4,,Los Angeles PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Thailand,,Unrooted Cutting,,Same as Shipper,0,1858,,,,,,21,,,,,,,,,,,,,,,
4,4,,Atlanta PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Thailand,,Unrooted Cutting,,ORNAMENTALES DE CONCEPCION S.A.,0,1,,,,,,27,,,,,,,,,,,,,,,
4,4,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,SAPO VERDE BOX 1001,4,1412,,,,,,27,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Viet Nam,,Unrooted Cutting,,"Growth Revolution Co., Ltd.",0,26548,,,,,,21,,,,,,,,,,,,,,,
5,5,,Los Angeles PIS,,,,,Airport - Aircraft - Express Carrier - PIS,,,El Salvador,,Rooted Plant (including grafted),,LAS LIMAS S A,1,2359,,,,,,19,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Guatemala,,Rooted Plant (including grafted),,TUCAN EXPORTERS,0,9006,,,,,,25,,,,,,,,,,,,,,,
5,5,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Rooted Plant (including grafted),,ZHANGZHOU RICH-LINK TRADING CO.LTD.,0,85,,,,,,14,,,,,,,,,,,,,,,
5,5,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Nicaragua,,Rooted Plant (including grafted),,VITA FARMS 7301,3,227,,,,,,9,,,,,,,,,,,,,,,
5,5,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,VITA FARM5501-5665,25,14848,,,,,,2,,,,,,,,,,,,,,,
5,5,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Uganda,,Unrooted Plant,,EXP. DE ORNAMENTALES BOX 201-310,27,4553,,,,,,13,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,COOPERATIVA AGRICOLA REGIONAL DE Box 25-27,5,15600,,,,,,25,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Nicaragua,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,CACTUSINTER CO LTD,10,219,,,,,,22,,,,,,,,,,,,,,,
5,5,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Indonesia,,Rooted Plant (including grafted),,ORNAMENTALES JIMENEZ ,8,336,,,,,,24,,,,,,,,,,,,,,,
6,6,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,El Salvador,,Unrooted Cutting,,IVAGRO S.A. BOX 1-46,9,26091,,,,,,13,,,,,,,,,,,,,,,
6,6,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Unrooted Cutting,,CHOM ORCHIDS,1,20,,,,,,21,,,,,,,,,,,,,,,
6,6,,Miami PIS,,,,,Airport - Aircraft - Express Carrier - PIS,,,China,,Unrooted Plant,,GENEROS ECUATORIANOS,1,54,,,,,,19,,,,,,,,,,,,,,,
7,7,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,Costa Farms LLC,4,8584,,,,,,25,,,,,,,,,,,,,,,
7,7,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Mexico,,Unrooted Cutting,,DUMMEN GMBH &AMP;CO.KG,7,1155,,,,,,23,,,,,,,,,,,,,,,
7,7,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,India,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,Same as Shipper,0,12917,,,,,,21,,,,,,,,,,,,,,,
7,7,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Mexico,,Unrooted Plant,,ANNIA FUENTES Box 101-103,63,184534,,,,,,8,,,,,,,,,,,,,,,
7,7,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Mexico,,Unrooted Cutting,,TROPICA DEL ATLANTICO,0,25,,,,,,27,,,,,,,,,,,,,,,
7,7,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Germany,,Rooted Plant (including grafted),,INNOVAPLANT DE COSTA RICA,13,2086,,,,,,28,,,,,,,,,,,,,,,
7,7,,Houston PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Dominican Republic,,Budwood/Graftwood (scion),,Jungle Jack's Thailand Ltd.,1,48,,,,,,26,,,,,,,,,,,,,,,
7,7,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Poland,,Rooted Plant (including grafted),,SHENZHEN ZHIZE WEISI SUPPLY CHAIN,1,120,,,,,,23,,,,,,,,,,,,,,,
8,8,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,VITA  FARM Box 1501,0,5,,,,,,21,,,,,,,,,,,,,,,
8,8,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Israel,,Rooted Plant (including grafted),,TUCAN EXPORTERS,1,8,,,,,,23,,,,,,,,,,,,,,,
8,8,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Slovakia,,Unrooted Cutting,,CUNA DE RAICES ECOLOGICAS COSTAR,30,2992,,,,,,16,,,,,,,,,,,,,,,
8,8,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Rooted Plant (including grafted),,Mr. Monchai Dejsungkranont,1,335,,,,,,22,,,,,,,,,,,,,,,
8,8,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Poland,,Rooted Plant (including grafted),,Same as Shipper,801,562,,,,,,18,,,,,,,,,,,,,,,
8,8,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Kenya,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,BEAUTY LINE GUATEMALA,17,11942,,,,,,14,,,,,,,,,,,,,,,
8,8,,Atlanta PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Ethiopia,,Unrooted Cutting,,Costa Farms LLC,1,934,,,,,,25,,,,,,,,,,,,,,,
8,8,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,IZUCAR HORTICULTURAL/ YECAFLORA,6,35967,,,,,,18,,,,,,,,,,,,,,,
8,8,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Dominican Republic,,Rooted Plant (including grafted),,ORNAMENTAL DE SAPO Verde  031-039,2,40048,,,,,,5,,,,,,,,,,,,,,,
8,8,,JFK PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Netherlands,,Rooted Plant (including grafted),,TIGRA VERDE S.A.,37,1022,,,,,,25,,,,,,,,,,,,,,,
9,9,,Miami PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Indonesia,,Unrooted Cutting,,Same as Shipper,4,2178,,,,,,20,,,,,,,,,,,,,,,
9,9,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Unrooted Cutting,,COSTA FARMS,26,55948,,,,,,25,,,,,,,,,,,,,,,
9,9,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,Not Selected,20,21601,,,,,,2,,,,,,,,,,,,,,,
9,9,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Rooted Plant (including grafted),,Cerca del Paraiso 101-103,232,514012,,,,,,17,,,,,,,,,,,,,,,
9,9,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,BEAUTY LINE GUATEMALA,27,573,,,,,,18,,,,,,,,,,,,,,,
9,9,,Honolulu PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Indonesia,,Unrooted Cutting,,BEAUTY LINE GUATEMALA,2,868,,,,,,15,,,,,,,,,,,,,,,
9,9,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,"Korea, South",,Unrooted Cutting,,RED FOX LAS MERCEDES,23,341,,,,,,18,,,,,,,,,,,,,,,
9,9,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Kenya,,"Root cutting, crown, or clump, Tuberous Root",,CERCA DEL PARAISO SA 101,24,7556,,,,,,12,,,,,,,,,,,,,,,
9,9,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,CERCA DEL PARAISO S.A.,5,11706,,,,,,12,,,,,,,,,,,,,,,
10,10,,Linden PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Indonesia,,Rooted Cutting (including air layer),,LA FLORESTA ORNAMENTALES S.A.,51,236658,,,,,,11,,,,,,,,,,,,,,,
10,10,,Miami PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,INNOVA PLANT DE COSTA RICA SA,33,109690,,,,,,7,,,,,,,,,,,,,,,
10,10,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Japan,,Rooted Plant (including grafted),,FLORAPANT SA DE CV,74,326630,,,,,,1,,,,,,,,,,,,,,,
11,11,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Rooted Cutting (including air layer),,VIVERO LAS GARDENIAS,0,3507,,,,,,20,,,,,,,,,,,,,,,
11,11,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,TURRIPLANTAS S.A. DRACAENA,1,125,,,,,,6,,,,,,,,,,,,,,,
11,11,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,IVAGRO S.A. BOX 1-11,22,15904,,,,,,25,,,,,,,,,,,,,,,
11,11,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Kenya,,Rooted Plant (including grafted),,FERTIPLANT BV,1,2,,,,,,5,,,,,,,,,,,,,,,
11,11,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Unrooted Cutting,,VITA FARMS S.A. BOXES 001-007,9,22247,,,,,,2,,,,,,,,,,,,,,,
11,11,,Atlanta PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,LA LABRANZA S A,1,81,,,,,,12,,,,,,,,,,,,,,,
11,11,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Kenya,,"Bulb, Corm, Rhizome, Tuberous Stem",,Same as Shipper,31,9568,,,,,,27,,,,,,,,,,,,,,,
11,11,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Rooted Plant (including grafted),,Not Selected,10,16031,,,,,,8,,,,,,,,,,,,,,,
11,11,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Kenya,,Rooted Plant (including grafted),,VITA FARMS S.A 2301-2340,17,38191,,,,,,24,,,,,,,,,,,,,,,
11,11,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Unrooted Plant,,ZHANGZHOU SPRING SUNSHINE IMPORT,2,29585,,,,,,14,,,,,,,,,,,,,,,
11,11,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Rooted Plant (including grafted),,FLORAPLANT SA DE CV,1,38,,,,,,15,,,,,,,,,,,,,,,
11,11,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,China,,Rooted Cutting (including air layer),,INNOVA PLANT DE COSTA RICA SA,4,347,,,,,,25,,,,,,,,,,,,,,,
11,11,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,INNOVA PLANT DE COSTA RICA SA,14,54645,,,,,,13,,,,,,,,,,,,,,,
12,12,,JFK PIS,,,,,Maritime Port - Vessel - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,PLANTAS Y FLORES ORNAMENTALES,8,1798,,,,,,3,,,,,,,,,,,,,,,
12,12,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Taiwan,,Rooted Plant (including grafted),,LA MORALEJA EXPORTS,5,5944,,,,,,13,,,,,,,,,,,,,,,
12,12,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),,JARDINES TERRAGARDEN,9,451,,,,,,10,,,,,,,,,,,,,,,
12,12,,Atlanta PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Mexico,,Unrooted Cutting,,Same as Shipper,5,38342,,,,,,23,,,,,,,,,,,,,,,
12,12,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,"GUANGZHOU HUITONG AGRICULTURAL TECHNOLOGY CO., LTD",8,1905,,,,,,21,,,,,,,,,,,,,,,
12,12,,Los Angeles PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Thailand,,Unrooted Plant,,BEAUTY LINE GUATEMALA,0,4423,,,,,,5,,,,,,,,,,,,,,,
12,12,,JFK PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Guatemala,,Unrooted Cutting,,IZUCAR HORTICULTURAL/ YECAFLORA,1,2,,,,,,28,,,,,,,,,,,,,,,
12,12,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Budwood/Graftwood (scion),,LAS LIMAS S A,11,31382,,,,,,22,,,,,,,,,,,,,,,
12,12,,Linden PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Uganda,,Unrooted Plant,,Terra Garden Corp,9,22751,,,,,,12,,,,,,,,,,,,,,,
13,13,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Costa Rica,,Unrooted Cutting,,LA FLORESTA ORNAMENTALES,9,146,,,,,,16,,,,,,,,,,,,,,,
13,13,,Miami PIS,,,,,Airport - Aircraft - Cargo - PIS,,,Spain,,Rooted Cutting (including air layer),,KENYA CUTTINGS LIMITED,75,7458,,,,,,11,,,,,,,,,,,,,,,
