INSPECTION_NUMBER,INSPECTION_LOCATION_NAME,PATHWAY,COUNTRY_OF_ORIGIN_NAME,PROPAGATIVE_MATERIAL_TYPE,TOTAL_SAMPLING_UNITS,TOTAL_PLANT_QUANTITY,PRODUCER
INS-5273,Atlanta PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",0,6808,Elzinga & Hoeksema Greenhouses
INS-9218,Los Angeles PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),231,13886,'Nash Greenhouses
INS-4117,Atlanta PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",323,8769,Northwest Horticulture
INS-7207,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",151,5694,Dewar Nurseries
INS-2849,Los Angeles PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),109,9439,O.F. Nelson & Sons Nursery Inc.
INS-7047,Atlanta PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",157,8905,Dan Schantz Farm
INS-4273,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",622,13496,Post Gardens Inc.
INS-8848,Miami PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",132,14588,California Pajarosa
INS-2790,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),46,4985,Petitti Garden Center (Casa Verde)
INS-7744,Los Angeles PIS,Air,India,"Root cutting, crown, or clump, Tuberous Root",365,8097,Johannes Flowers Inc.
INS-7611,Los Angeles PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",691,12235,Delray Plants Inc.
INS-5082,Los Angeles PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),0,0,Blue Ridge Growers
INS-7575,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",299,12273,Sawyer Nursery
INS-3880,Los Angeles PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",24,4941,Clearwater Nursery
INS-4479,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",555,5925,Lucas Greenhouses
INS-5200,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),349,7397,Heartland Growers
INS-4451,Los Angeles PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",340,11968,Aris (formerly Yoder Brothers)
INS-5741,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),0,6598,Dallas Johnson Greenhouses
INS-6058,Atlanta PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),0,1612,Pacifica Flowers
INS-6429,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),830,6261,Bell Nursery
INS-5664,Los Angeles PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",758,8011,Garden State Growers
INS-4891,Los Angeles PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),324,10998,Lucas Greenhouses
INS-9970,Los Angeles PIS,Air,India,Budwood/Graftwood (scion),561,9951,Hiebert Greenhouse of South Dakota
INS-3737,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",0,5148,Post Gardens Inc.
INS-5293,Atlanta PIS,Sea,India,Budwood/Graftwood (scion),144,0,"Young's Plant Farm, Inc."
INS-2982,Los Angeles PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",403,10529,"Young's Plant Farm, Inc."
INS-8575,Los Angeles PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",606,10842,Kerry's Bromeliads
INS-1004,Miami PIS,Air,Netherlands,"Root cutting, crown, or clump, Tuberous Root",405,10174,Dan Schantz Farm
INS-9171,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",501,1932,Delray Plants Inc.
INS-6977,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),530,8658,"Matsui Nursery, Inc."
INS-4804,Los Angeles PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",302,5588,Hines Horticulture
INS-2251,Atlanta PIS,Air,Netherlands,Budwood/Graftwood (scion),0,0,Van de Wetering Greenhouses Inc.
INS-9968,Atlanta PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),461,8660,"Costa Farms, LLC"
INS-7331,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),445,7537,Delray Plants Inc.
INS-6666,Miami PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",768,13411,Garden State Growers
INS-7245,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),252,9161,Maria Gardens Greenhouses Inc.
INS-6910,Atlanta PIS,Air,Netherlands,Budwood/Graftwood (scion),129,7988,Bob's Market & Greenhouses Inc.
INS-7698,Miami PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),498,12729,Clearwater Nursery
INS-8142,Atlanta PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",177,6407,Myriad Flowers International
INS-9128,Los Angeles PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),291,8770,"Olive Hill Greenhouses, Inc."
INS-5801,Atlanta PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),294,2335,Petitti Garden Center (Casa Verde)
INS-9944,Miami PIS,Air,Japan,"Root cutting, crown, or clump, Tuberous Root",446,12918,Kitayama Brothers
INS-6846,Atlanta PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),0,6367,Kurt Weiss Greenhouses
INS-8776,Los Angeles PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",582,6085,'Nash Greenhouses
INS-5273,Atlanta PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",0,0,Pacifica Flowers
INS-3102,Miami PIS,Air,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",191,7843,Rocket Farms
INS-3620,Miami PIS,Air,India,Budwood/Graftwood (scion),638,7019,Maria Gardens Greenhouses Inc.
INS-6526,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",453,9897,Harts Nursery
INS-1004,Miami PIS,Air,India,Budwood/Graftwood (scion),283,7425,Valley Flowers
INS-6207,Los Angeles PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),405,11272,Kitayama Brothers
INS-4804,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),379,8315,Paul Ecke Ranch
INS-4479,Los Angeles PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",343,6645,"Stacy's Greenhouses, Inc."
INS-1679,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),227,6157,The Sun Valley Group
INS-3564,Atlanta PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",650,11498,Westland Floral Co.
INS-4685,Atlanta PIS,Air,Netherlands,"Root cutting, crown, or clump, Tuberous Root",643,13355,Heartland Growers
INS-9491,Atlanta PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),505,9254,GroLink Plant Co.
INS-2293,Los Angeles PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",239,8710,Bay City Flowers
INS-5881,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",856,5595,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-3225,Los Angeles PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),387,2137,"Young's Plant Farm, Inc."
INS-4873,Miami PIS,Sea,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",625,4790,Panzer Nursery
INS-1004,Los Angeles PIS,Air,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",372,6352,Mid-American Growers
INS-9978,Atlanta PIS,Air,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",235,10948,Barcelo Enterprises
INS-2131,Miami PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",77,4050,"Farmers' West Flowers & Bouquets, Inc."
INS-4117,Los Angeles PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",200,4039,Northwest Horticulture
INS-9701,Los Angeles PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),368,12096,Aris (formerly Yoder Brothers)
INS-4457,Los Angeles PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),140,9369,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-6098,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),360,2565,"Young's Plant Farm, Inc."
INS-7522,Miami PIS,Air,Netherlands,Budwood/Graftwood (scion),233,10170,"Olive Hill Greenhouses, Inc."
INS-7302,Atlanta PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),281,10887,"Olive Hill Greenhouses, Inc."
INS-8562,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),485,12691,Maria Gardens Greenhouses Inc.
INS-3963,Miami PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",643,8349,"Costa Farms, LLC"
INS-6296,Atlanta PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",0,0,Milgro Nursery Inc.
INS-9978,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",407,10083,Polk Nursery Company Inc.
INS-9978,Atlanta PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),530,4471,"Olive Hill Greenhouses, Inc."
INS-6713,Los Angeles PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",393,12947,Floral Plant Growers LLC
INS-3225,Los Angeles PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",57,5190,California Pajarosa
INS-5372,Los Angeles PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),280,9506,Green Circle Growers
INS-4015,Los Angeles PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),296,6916,Van de Wetering Greenhouses Inc.
INS-2377,Los Angeles PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),246,5056,"Young's Plant Farm, Inc."
INS-9978,Los Angeles PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),337,8316,California Pajarosa
INS-3737,Miami PIS,Air,Netherlands,Budwood/Graftwood (scion),825,7464,Colorama Wholesale Nursery
INS-2812,Los Angeles PIS,Air,Japan,Budwood/Graftwood (scion),8,4661,Dan & Jerry's Greenhouse
INS-4922,Los Angeles PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",55,11464,Kurt Weiss Greenhouses
INS-3858,Atlanta PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",300,3557,Mid-American Growers
INS-8032,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),136,5339,Heartland Growers
INS-8841,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",477,5636,"Matsui Nursery, Inc."
INS-7269,Atlanta PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",158,9309,Johannes Flowers Inc.
INS-3928,Los Angeles PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",474,3287,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-2463,Los Angeles PIS,Air,Netherlands,Budwood/Graftwood (scion),63,0,Colorama Wholesale Nursery
INS-5233,Miami PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),521,7647,Sawyer Nursery
INS-1004,Miami PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),474,6002,Johannes Flowers Inc.
INS-6567,Miami PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",86,6594,California Pajarosa
INS-4189,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),717,44945,Barcelo Enterprises
INS-7555,Miami PIS,Train,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",612,44612,Clearwater Nursery
INS-8662,Los Angeles PIS,Air,Japan,Budwood/Graftwood (scion),842,42036,'Nash Greenhouses
INS-3586,Miami PIS,Sea,Netherlands,Budwood/Graftwood (scion),675,51349,Sawyer Nursery
INS-7434,Los Angeles PIS,Air,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",824,49684,Green Valley Growers
INS-5761,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",606,44514,Dramm & Echter Inc.
INS-9978,Atlanta PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",787,43116,Bay City Flowers
INS-4685,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",567,45622,Alex R. Masson
INS-6402,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),654,47493,Hiebert Greenhouse of South Dakota
INS-6747,Los Angeles PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",659,47889,"Farmers' West Flowers & Bouquets, Inc."
INS-9978,Atlanta PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",272,41217,'Nash Greenhouses
INS-2813,Atlanta PIS,Train,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",730,52300,Post Gardens Inc.
INS-4976,Los Angeles PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),670,46983,Dan Schantz Farm
INS-4193,Los Angeles PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",592,45854,GroLink Plant Co.
INS-3615,Los Angeles PIS,Sea,India,Budwood/Graftwood (scion),734,42661,Color Star Growers
INS-6156,Atlanta PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),903,48972,Silver Terrace Nursery
INS-5147,Los Angeles PIS,Air,Netherlands,Budwood/Graftwood (scion),738,44031,Hines Horticulture
INS-7035,Los Angeles PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),567,48761,"Farmers' West Flowers & Bouquets, Inc."
INS-2348,Los Angeles PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),638,56690,Kawahara Nurseries
INS-5590,Miami PIS,Air,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",870,48433,Nurserymen's Exchange
INS-5628,Los Angeles PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),664,53846,The Sun Valley Group
INS-3269,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",716,55005,Silver Terrace Nursery
INS-2382,Los Angeles PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",642,50200,GroLink Plant Co.
INS-4061,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",789,52568,Four Star Greenhouses
INS-1876,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),858,54908,Sunshine Floral Inc.
INS-3615,Atlanta PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",574,47314,'Riverview Flower Farm
INS-3968,Los Angeles PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",691,49650,N.G. Heimos Greenhouses
INS-7047,Los Angeles PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),856,49610,DeLeon's Bromeliads
INS-6846,Miami PIS,Train,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",702,45900,"Bergen's Greenhouses, Inc."
INS-3449,Atlanta PIS,Sea,India,Budwood/Graftwood (scion),807,44451,'Nash Greenhouses
INS-8477,Miami PIS,Sea,India,Budwood/Graftwood (scion),626,45092,Colorama Wholesale Nursery
INS-3831,Los Angeles PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",877,46683,Dan Schantz Farm
INS-4804,Los Angeles PIS,Air,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),613,46708,Colorama Wholesale Nursery
INS-7203,Atlanta PIS,Air,India,Budwood/Graftwood (scion),742,31872,Blue Ridge Growers
INS-6734,Los Angeles PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),590,31435,Operation
INS-9380,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),596,33463,Kent's Bromeliads Nursery Inc.
INS-1185,Los Angeles PIS,Train,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",557,32717,Four Star Greenhouses
INS-6510,Miami PIS,Train,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",398,33106,Maria Gardens Greenhouses Inc.
INS-5610,Miami PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",412,31353,"Costa Farms, LLC"
INS-7806,Los Angeles PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",541,33616,Green Circle Growers
INS-5741,Atlanta PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),797,36215,"Young's Plant Farm, Inc."
INS-5208,Los Angeles PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),348,33470,Henry Mast Greenhouses/Masterpiece Flower Co LLC
INS-4737,Los Angeles PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",571,33158,Dewar Nurseries
INS-8690,Atlanta PIS,Air,India,Budwood/Graftwood (scion),1078,37348,Johannes Flowers Inc.
INS-8729,Atlanta PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",182,34454,Nurserymen's Exchange
INS-2382,Los Angeles PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",720,32347,Rocket Farms
INS-7034,Atlanta PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),638,35297,Young's Nursery & Greenhouses
INS-7732,Los Angeles PIS,Sea,India,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),888,34252,Clearwater Nursery
INS-8238,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",468,31351,Sunshine Floral Inc.
INS-5304,Los Angeles PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),384,31359,Twixwood Nursery LLC
INS-6677,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),698,30109,Ocean Breeze International
INS-8659,Atlanta PIS,Air,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),265,36763,Metrolina Greenhouses
INS-6098,Atlanta PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),796,35696,Kurt Weiss Greenhouses
INS-6805,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",725,29726,Panzer Nursery
INS-4737,Los Angeles PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),666,29932,Blue Ridge Growers
INS-4212,Atlanta PIS,Sea,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),613,37196,Mid-American Growers
INS-4685,Los Angeles PIS,Air,India,"Bulb, Corm, Rhizome, Tuberous Stem",567,32781,DeLeon's Bromeliads
INS-5156,Miami PIS,Train,India,"Bulb, Corm, Rhizome, Tuberous Stem",848,30178,Dallas Johnson Greenhouses
INS-9179,Los Angeles PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",473,33323,Aris (formerly Yoder Brothers)
INS-2934,Los Angeles PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",352,27613,GroLink Plant Co.
INS-2849,Atlanta PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",397,31776,"Young's Plant Farm, Inc."
INS-2562,Los Angeles PIS,Train,India,Budwood/Graftwood (scion),799,32128,Dewar Nurseries
INS-9208,Atlanta PIS,Air,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",461,33263,Maria Gardens Greenhouses Inc.
INS-6207,Miami PIS,Air,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",330,27126,Operation
INS-4661,Atlanta PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",873,77010,Bailey Nurseries
INS-4685,Atlanta PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),910,90166,Ocean Breeze International
INS-5333,Los Angeles PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",820,85406,Dramm & Echter Inc.
INS-6155,Los Angeles PIS,Air,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),924,86497,Myriad Flowers International
INS-7546,Los Angeles PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",878,79388,Van Wingerden International Inc.
INS-8550,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),895,74079,Kerry's Bromeliads
INS-6574,Atlanta PIS,Air,Netherlands,"Root cutting, crown, or clump, Tuberous Root",872,89313,Nurserymen's Exchange
INS-6156,Miami PIS,Sea,Japan,"Bulb, Corm, Rhizome, Tuberous Stem",895,79570,Floral Plant Growers LLC
INS-4681,Los Angeles PIS,Air,Netherlands,Budwood/Graftwood (scion),922,82521,"Young's Plant Farm, Inc."
INS-1004,Miami PIS,Sea,New Zeland,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),1012,81640,Green Circle Growers
INS-5273,Los Angeles PIS,Sea,Netherlands,"Bulb, Corm, Rhizome, Tuberous Stem",888,80498,N.G. Heimos Greenhouses
INS-5372,Los Angeles PIS,Sea,Japan,Budwood/Graftwood (scion),893,75901,Metrolina Greenhouses
INS-2620,Miami PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",902,84701,Hines Horticulture
INS-5540,Miami PIS,Sea,India,Budwood/Graftwood (scion),911,73687,The Sun Valley Group
INS-5285,Miami PIS,Sea,Japan,Budwood/Graftwood (scion),939,77207,Plant Marketing LLC
INS-6567,Los Angeles PIS,Air,New Zeland,Budwood/Graftwood (scion),911,81078,Plant Marketing LLC
INS-4310,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),942,85324,Metrolina Greenhouses
INS-5167,Miami PIS,Sea,India,"Root cutting, crown, or clump, Tuberous Root",433,16861,Rockwell Farms Inc.
INS-8047,Los Angeles PIS,Air,Japan,Budwood/Graftwood (scion),486,19165,Lucas Greenhouses
INS-1234,Los Angeles PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",0,18572,Polk Nursery Company Inc.
INS-4512,Miami PIS,Sea,New Zeland,"Root cutting, crown, or clump, Tuberous Root",0,17679,Polk Nursery Company Inc.
INS-5114,Los Angeles PIS,Sea,India,"Bulb, Corm, Rhizome, Tuberous Stem",484,18793,Plant Marketing LLC
INS-8475,Los Angeles PIS,Air,New Zeland,Budwood/Graftwood (scion),638,17940,Grower Direct Farms
INS-1856,Miami PIS,Sea,Netherlands,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),628,19870,Delray Plants Inc.
INS-4015,Los Angeles PIS,Sea,Japan,"Root cutting, crown, or clump, Tuberous Root",0,16037,Timberline Nursery Inc.
INS-4062,Miami PIS,Air,Japan,Meristem or Callus Tissue Culture (micropropagated/in vitro culture),580,18384,Harts Nursery
INS-4039,Los Angeles PIS,Sea,New Zeland,"Bulb, Corm, Rhizome, Tuberous Stem",335,19767,Polk Nursery Company Inc.
